% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 22 2025, 16:36
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9744643789456188+1.4312252429378586E-7i
0.1263848202934298                                0.9744643792091122+1.8088411204611057E-7i
0.15973122800602543                               0.9744643796298786+2.2860797443491996E-7i
0.2018760254679039                                0.9744643803021105+2.8892156769494245E-7i
0.25514065200312885                               0.9744643813756697+3.651445053883782E-7i
0.32245905452963947                               0.9744643830905333+4.6147007103202685E-7i
0.4075392965871777                                0.9744643858293887+5.831934900459779E-7i
0.5150678076168125                                0.9744643902035137+7.369981453454216E-7i
0.6509675230458171                                0.9744643971885636+9.313127071269153E-7i
0.822724134170047                                 0.9744644083415192+1.1767532091909052E-6i
1.03979841848149                                  0.9744644261448786+1.486663088883973E-6i
1.3141473626117568                                0.9744644545537163+1.8777581926976028E-6i
1.6608827826277157                                0.9744644998583978+2.3708668019991992E-6i
2.0991037201085545                                0.9744645720380245+2.9917150641376917E-6i
2.6529484644318972                                0.9744646868589593+3.7716231060394596E-6i
3.3529241492495583                                0.9744648690683525+4.747805168180002E-6i
4.237587160604064                                 0.9744651571026295+5.962638178479641E-6i
5.355666917706899                                 0.9744656096573598+7.460678181017498E-6i
6.768750009458534                                 0.9744663139408224+9.281281686233498E-6i
8.554672535565684                                 0.9744673938396323+1.144357165544836E-5i
10.811807510766078                                0.9744690126070862+1.392011740024285E-5i
13.664483492953257                                0.9744713586417836+1.6598862009475518E-5i
17.26983290659436                                 0.9744745977611772+1.924445899661482E-5i
21.826447283974872                                0.9744787833084815+2.1491954860229905E-5i
27.58531617629184                                 0.9744837533267537+2.291979987158596E-5i
34.863652276780876                                0.9744890981338298+2.3211484134062648E-5i
44.06236427773573                                 0.974494273104566+2.2317282835763866E-5i
55.68813990945273                                 0.9744988094169441+2.048077402680739E-5i
70.38135554931561                                 0.9745024683244545+1.810433510080192E-5i
88.95134973108236                                 0.9745052464815857+1.5572088498176848E-5i
112.42100350620873                                0.9745072803678336+1.3148258112475238E-5i
142.08308325339223                                0.9745087449459653+1.0968575172964255E-5i
179.5714494371641                                 0.9745097957561991+9.078615593866521E-6i
226.9510536694671                                 0.9745105519290358+7.475017467267517E-6i
286.83168133420116                                0.9745110989915424+6.132481504653201E-6i
362.51170499885353                                0.9745114963642115+5.01840726811965E-6i
458.1597669054491                                 0.9745117847459346+4.100557756539221E-6i
579.0443980602489                                 0.9745119924660689+3.350433780288461E-6i
731.8242219076182                                 0.9745121400928287+2.743945722889621E-6i
924.9147277217335                                 0.9745122432017249+2.2609522442607155E-6i
1168.9518164985777                                0.9745123138588403+1.884647314103043E-6i
1477.3776525985127                                0.9745123613988045+1.6011475569473692E-6i
1867.1810912919207                                0.9745123928902322+1.3993306280156464E-6i
2359.8334667821937                                0.9745124135111458+1.2708557629512428E-6i
2982.471286216894                                 0.9745124269191895+1.2102740165977629E-6i
3769.3909753883636                                0.9745124356168147+1.2151701618852467E-6i
4763.938010401341                                 0.9745124412795804+1.2863295166403292E-6i
6020.894493336138                                 0.974512445022093+1.4279623263473092E-6i
7609.496685459883                                 0.9745124475956881+1.6480361633362186E-6i
9617.248711152964                                 0.9745124495292998+1.95876861751964E-6i
12154.742500762884                                0.9745124512313099+2.3773296506194774E-6i
15361.749466718296                                0.9745124530703121+2.926804429886097E-6i
19414.919457438817                                0.9745124554517866+3.6374748592967625E-6i
24537.51106639822                                 0.9745124589053284+4.548493248729236E-6i
31011.689265747817                                0.9745124642010875+5.71004149159657E-6i
39194.06774847221                                 0.9745124725216034+7.18609511993587E-6i
49535.352089591805                                0.9745124857250621+9.057944408264799E-6i
62605.16572014828                                 0.9745125067603445+1.1428664478589297E-5i
79123.42618981327                                 0.9745125403252545+1.4428777109934563E-5i
100000                                            0.9745125939155218+1.8223407517438243E-5i
