% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 22 2025, 14:25
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.97447968953988+2.0005107937231253E-7i
0.1263848202934298                                0.9744796904526086+2.528250916481013E-7i
0.15973122800602543                               0.9744796919105241+3.1951415821138134E-7i
0.2018760254679039                                0.974479694238515+4.037802983155459E-7i
0.25514065200312885                               0.974479697956238+5.102421403174892E-7i
0.32245905452963947                               0.9744797038922306+6.447175549360342E-7i
0.4075392965871777                                0.9744797133671875+8.145204237895344E-7i
0.5150678076168125                                0.9744797284857732+1.028815852176689E-6i
0.6509675230458171                                0.9744797525939447+1.2990294489464448E-6i
0.822724134170047                                 0.974479790998071+1.6392857252107517E-6i
1.03979841848149                                  0.9744798520782565+2.06680688572192E-6i
1.3141473626117568                                0.9744799489805566+2.6021152075855164E-6i
1.6608827826277157                                0.9744801021100687+3.2687158125321594E-6i
2.0991037201085545                                0.9744803426211639+4.091643305400601E-6i
2.6529484644318972                                0.9744807168548084+5.09379228005921E-6i
3.3529241492495583                                0.9744812909444306+6.2883610020123315E-6i
4.237587160604064                                 0.9744821530793838+7.665395482774056E-6i
5.355666917706899                                 0.9744834078074948+9.171591999564346E-6i
6.768750009458534                                 0.9744851533943102+1.0687840740633895E-5i
8.554672535565684                                 0.9744874354382477+1.2020451057810484E-5i
10.811807510766078                                0.9744901877725812+1.2932421013151668E-5i
13.664483492953257                                0.974493202890829+1.3227078025438286E-5i
17.26983290659436                                 0.9744961798193801+1.2844889054652185E-5i
21.826447283974872                                0.9744988381585599+1.1896102958555612E-5i
27.58531617629184                                 0.9745010166281188+1.0598489082457302E-5i
34.863652276780876                                0.9745026914595599+9.17627841678605E-6i
44.06236427773573                                 0.9745039292698746+7.792866639930405E-6i
55.68813990945273                                 0.9745048278731058+6.537524453361639E-6i
70.38135554931561                                 0.9745054786447617+5.44388629039555E-6i
88.95134973108236                                 0.9745059532325505+4.513783346854005E-6i
112.42100350620873                                0.9745063035997967+3.7340785128349927E-6i
142.08308325339223                                0.9745065659545643+3.0861043097369714E-6i
179.5714494371641                                 0.974506764948743+2.550681430385988E-6i
226.9510536694671                                 0.9745069174002661+2.1104955529981503E-6i
286.83168133420116                                0.9745070351213376+1.750775674970563E-6i
362.51170499885353                                0.9745071267218477+1.459159500292744E-6i
458.1597669054491                                 0.9745071986355337+1.2253577291905636E-6i
579.0443980602489                                 0.9745072556881474+1.0408720648356212E-6i
731.8242219076182                                 0.9745073014356104+8.988293906069912E-7i
924.9147277217335                                 0.974507338411562+7.939131383816341E-7i
1168.9518164985777                                0.9745073683454617+7.223499288416505E-7i
1477.3776525985127                                0.9745073923653396+6.819197870554286E-7i
1867.1810912919207                                0.9745074111776019+6.719806395344029E-7i
2359.8334667821937                                0.9745074252112041+6.935172399061033E-7i
2982.471286216894                                 0.9745074347229528+7.492352676022202E-7i
3769.3909753883636                                0.974507439868721+8.43724324373002E-7i
4763.938010401341                                 0.974507440746772+9.837130242215502E-7i
6020.894493336138                                 0.9745074374220384+1.1784389696076907E-6i
7609.496685459883                                 0.9745074299413211+1.4401590530857627E-6i
9617.248711152964                                 0.974507418344834+1.7848304470311078E-6i
12154.742500762884                                0.9745074026800394+2.2330000771575047E-6i
15361.749466718296                                0.974507383027289+2.8109513719319376E-6i
19414.919457438817                                0.9745073595427275+3.5521697264572374E-6i
24537.51106639822                                 0.9745073325319118+4.499205763908453E-6i
31011.689265747817                                0.9745073025694267+5.706036121657404E-6i
39194.06774847221                                 0.9745072706909079+7.241049262466009E-6i
49535.352089591805                                0.9745072386967463+9.190817551753272E-6i
62605.16572014828                                 0.9745072096338592+1.1664858630463144E-5i
79123.42618981327                                 0.9745071885567489+1.4801639393666466E-5i
100000                                            0.9745071837309377+1.8776138766396073E-5i
