% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 15:02
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9982072731496265+1.1522421507615826E-8i
0.1263848202934298                                0.9982072731759104+1.4562459674329716E-8i
0.15973122800602543                               0.9982072732179351+1.8404472220042873E-8i
0.2018760254679039                                0.9982072732848876+2.325992160562285E-8i
0.25514065200312885                               0.9982072733919755+2.939592523038517E-8i
0.32245905452963947                               0.9982072735628659+3.71497972415184E-8i
0.4075392965871777                                0.9982072738357984+4.6947285204600224E-8i
0.5150678076168125                                0.9982072742715636+5.9325325473528744E-8i
0.6509675230458171                                0.9982072749674441+7.496022121235063E-8i
0.822724134170047                                 0.9982072760781476+9.470208399551713E-8i
1.03979841848149                                  0.9982072778501795+1.1961602279082977E-7i
1.3141473626117568                                0.9982072806753421+1.51029554319914E-7i
1.6608827826277157                                0.9982072851744777+1.9058332304373542E-7i
2.0991037201085545                                0.9982072923277502+2.4027726238000884E-7i
2.6529484644318972                                0.9982073036717083+3.024942145571998E-7i
3.3529241492495583                                0.9982073215916957+3.7996368188446474E-7i
4.237587160604064                                 0.9982073497334387+4.755930621039306E-7i
5.355666917706899                                 0.9982073935323631+5.920354670086681E-7i
6.768750009458534                                 0.9982074607638995+7.30787961621242E-7i
8.554672535565684                                 0.9982075618063498+8.905753504159864E-7i
10.811807510766078                                0.9982077089204654+1.064935890878153E-6i
13.664483492953257                                0.9982079134802824+1.2395935424324425E-6i
17.26983290659436                                 0.9982081804173488+1.3915609258530443E-6i
21.826447283974872                                0.9982085013200339+1.4930564651265472E-6i
27.58531617629184                                 0.9982088512459777+1.521492033620951E-6i
34.863652276780876                                0.9982091947096787+1.470676548280124E-6i
44.06236427773573                                 0.9982094991361565+1.3542187201830618E-6i
55.68813990945273                                 0.9982097461006595+1.1979576656919112E-6i
70.38135554931561                                 0.9982099331574081+1.028254780504686E-6i
88.95134973108236                                 0.9982100683269518+8.643926614266387E-7i
112.42100350620873                                0.9982101633976548+7.170653786528636E-7i
142.08308325339223                                0.9982102296107638+5.903291128811982E-7i
179.5714494371641                                 0.9982102759292335+4.842313743401455E-7i
226.9510536694671                                 0.9982103088392461+3.968592940228892E-7i
286.83168133420116                                0.998210332777157+3.2560651647684506E-7i
362.51170499885353                                0.9982103506833858+2.678368648395795E-7i
458.1597669054491                                 0.9982103644767568+2.211756471045912E-7i
579.0443980602489                                 0.9982103754027575+1.8360396441866407E-7i
731.8242219076182                                 0.9982103842680777+1.534622294104096E-7i
924.9147277217335                                 0.9982103915940476+1.2941938903107066E-7i
1168.9518164985777                                0.9982103977150241+1.1043426502141812E-7i
1477.3776525985127                                0.9982104028429953+9.571953224179466E-8i
1867.1810912919207                                0.9982104071114007+8.47112052313515E-8i
2359.8334667821937                                0.9982104106042242+7.704446846026578E-8i
2982.471286216894                                 0.9982104133759052+7.253623879626957E-8i
3769.3909753883636                                0.9982104154636905+7.117515743460652E-8i
4763.938010401341                                 0.998210416894949+7.312003735836612E-8i
6020.894493336138                                 0.9982104176905943+7.870765589188327E-8i
7609.496685459883                                 0.9982104178670947+8.847115809136403E-8i
9617.248711152964                                 0.998210417436666+1.0317017975330929E-7i
12154.742500762884                                0.998210416407806+1.2383413286986819E-7i
15361.749466718296                                0.9982104147863752+1.5182119203494133E-7i
19414.919457438817                                0.9982104125773095+1.8889568281032136E-7i
24537.51106639822                                 0.9982104097879608+2.3732838266753097E-7i
31011.689265747817                                0.9982104064347391+3.000247708978663E-7i
39194.06774847221                                 0.9982104025530737+3.806879706995351E-7i
49535.352089591805                                0.9982103982142623+4.840251200624071E-7i
62605.16572014828                                 0.9982103935510526+6.160082966127113E-7i
79123.42618981327                                 0.9982103887990075+7.842040437653561E-7i
100000                                            0.9982103843611737+9.98188980288839E-7i
