% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 15:16
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9982093181813645+1.14993960071011E-8i
0.1263848202934298                                0.9982093182075611+1.4533359360714727E-8i
0.15973122800602543                               0.9982093182494747+1.8367694391235156E-8i
0.2018760254679039                                0.9982093183163206+2.3213441037320923E-8i
0.25514065200312885                               0.9982093184231857+2.9337182616160765E-8i
0.32245905452963947                               0.9982093185937823+3.70755596277526E-8i
0.4075392965871777                                0.998209318866076+4.6853468347670655E-8i
0.5150678076168125                                0.9982093193010569+5.92067719434041E-8i
0.6509675230458171                                0.9982093199955865+7.481042102716892E-8i
0.822724134170047                                 0.9982093211040685+9.45128266644921E-8i
1.03979841848149                                  0.9982093228725969+1.1937696733567263E-7i
1.3141473626117568                                0.9982093256921902+1.5072769721960717E-7i
1.6608827826277157                                0.9982093301824779+1.9020237035008334E-7i
2.0991037201085545                                0.9982093373216634+2.397968985336216E-7i
2.6529484644318972                                0.9982093486432633+3.018893030824215E-7i
3.3529241492495583                                0.9982093665278853+3.792035297352642E-7i
4.237587160604064                                 0.9982093946140379+4.7464096212687274E-7i
5.355666917706899                                 0.9982094383260682+5.908490454058358E-7i
6.768750009458534                                 0.9982095054236333+7.293212569630743E-7i
8.554672535565684                                 0.9982096062633851+8.887841238179492E-7i
10.811807510766078                                0.9982097530793098+1.0627881135495296E-6i
13.664483492953257                                0.9982099572185282+1.2370862638865231E-6i
17.26983290659436                                 0.9982102235974063+1.3887412204202426E-6i
21.826447283974872                                0.9982105438169602+1.4900369494494963E-6i
27.58531617629184                                 0.9982108929885981+1.518445502504854E-6i
34.863652276780876                                0.9982112357134053+1.4678009255994783E-6i
44.06236427773573                                 0.9982115395052549+1.3516851831776864E-6i
55.68813990945273                                 0.9982117859972621+1.1958702298175606E-6i
70.38135554931561                                 0.9982119727562712+1.0266395872335727E-6i
88.95134973108236                                 0.998212107779339+8.632132484503858E-7i
112.42100350620873                                0.9982122028139379+7.162487300180146E-7i
142.08308325339223                                0.9982122690591037+5.89789607660615E-7i
179.5714494371641                                 0.9982123154423349+4.838871543369243E-7i
226.9510536694671                                 0.9982123484244633+3.9664137211711605E-7i
286.83168133420116                                0.9982123724258568+3.25462619024715E-7i
362.51170499885353                                0.9982123903791288+2.6773155141359834E-7i
458.1597669054491                                 0.9982124042017149+2.2108795754758166E-7i
579.0443980602489                                 0.9982124151415198+1.83523812523799E-7i
731.8242219076182                                 0.9982124240099448+1.533864917737943E-7i
924.9147277217335                                 0.9982124313328686+1.2934842807897742E-7i
1168.9518164985777                                0.9982124374488388+1.103693595558549E-7i
1477.3776525985127                                0.9982124425727034+9.566130200619058E-8i
1867.1810912919207                                0.9982124468390577+8.465891864300834E-8i
2359.8334667821937                                0.9982124503326274+7.699590591387324E-8i
2982.471286216894                                 0.9982124531075558+7.248786174964425E-8i
3769.3909753883636                                0.9982124552007682+7.112228276971527E-8i
4763.938010401341                                 0.9982124566390117+7.30569810029646E-8i
6020.894493336138                                 0.9982124574428844+7.862771914112055E-8i
7609.496685459883                                 0.9982124576284398+8.836646894241467E-8i
9617.248711152964                                 0.9982124572077029+1.0303123888264432E-7i
12154.742500762884                                0.998212456189107+1.2364940198357436E-7i
15361.749466718296                                0.9982124545782587+1.5157642141113E-7i
19414.919457438817                                0.9982124523799233+1.8857331432623114E-7i
24537.51106639822                                 0.9982124496013339+2.36906650091808E-7i
31011.689265747817                                0.9982124462590024+2.9947646583820376E-7i
39194.06774847221                                 0.9982124423885266+3.7997880933528694E-7i
49535.352089591805                                0.9982124380611567+4.831116562396579E-7i
62605.16572014828                                 0.9982124334096204+6.148353406898874E-7i
79123.42618981327                                 0.9982124286688435+7.827016970915065E-7i
100000                                            0.9982124242412127+9.96268829430873E-7i
