% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 19 2025, 16:12
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9557856741495323+4.4539017083945113E-7i
0.1263848202934298                                0.9557856749458595+5.629024578766772E-7i
0.15973122800602543                               0.9557856762177093+7.114169833452183E-7i
0.2018760254679039                                0.9557856782493896+8.991104054132396E-7i
0.25514065200312885                               0.9557856814943174+1.1363134924586968E-6i
0.32245905452963947                               0.9557856866772335+1.4360761333496684E-6i
0.4075392965871777                                0.95578569495517+1.8148780179228737E-6i
0.5150678076168125                                0.9557857081755922+2.2935199539632963E-6i
0.6509675230458171                                0.9557857292874639+2.8982364964413367E-6i
0.822724134170047                                 0.9557857629964541+3.6620742118486747E-6i
1.03979841848149                                  0.955785816806273+4.626577384093651E-6i
1.3141473626117568                                0.9557859026708554+5.843805564283105E-6i
1.6608827826277157                                0.9557860396032655+7.37865724438634E-6i
2.0991037201085545                                0.9557862577670139+9.311355623646963E-6i
2.6529484644318972                                0.9557866048210204+1.1739697832072501E-5i
3.3529241492495583                                0.955787155577072+1.478015314588487E-5i
4.237587160604064                                 0.9557880262457387+1.8565908408755623E-5i
5.355666917706899                                 0.9557893943292334+2.3238201411485E-5i
6.768750009458534                                 0.9557915236570015+2.8924511741336362E-5i
8.554672535565684                                 0.9557947892831127+3.569382216969136E-5i
10.811807510766078                                0.9557996861268144+4.3478054096873444E-5i
13.664483492953257                                0.9558067871418909+5.195828809719021E-5i
17.26983290659436                                 0.9558166014524611+6.0449261856232644E-5i
21.826447283974872                                0.9558293069529518+6.788076865790085E-5i
27.58531617629184                                 0.9558444457252829+7.301598488799712E-5i
34.863652276780876                                0.955860832055399+7.493252384502894E-5i
44.06236427773573                                 0.9558768947967902+7.349850202355029E-5i
55.68813990945273                                 0.95589130746357+6.943817868748119E-5i
70.38135554931561                                 0.9559034385314228+6.391467973662975E-5i
88.95134973108236                                 0.9559133442829744+5.799381196361047E-5i
112.42100350620873                                0.955921456373182+5.2352283623044724E-5i
142.08308325339223                                0.9559282674064515+4.7282910732613834E-5i
179.5714494371641                                 0.9559341740473515+4.2837888565358096E-5i
226.9510536694671                                 0.9559394539663928+3.895498114870269E-5i
286.83168133420116                                0.9559442850405117+3.5523029057366476E-5i
362.51170499885353                                0.9559487613395896+3.241908342837576E-5i
458.1597669054491                                 0.9559529126073985+2.9537965304297323E-5i
579.0443980602489                                 0.9559567302644529+2.680797350961681E-5i
731.8242219076182                                 0.955960189748064+2.4192468840614716E-5i
924.9147277217335                                 0.9559632656310054+2.168511487530189E-5i
1168.9518164985777                                0.9559659413214993+1.93027550842876E-5i
1477.3776525985127                                0.9559682143199668+1.7077391152160462E-5i
1867.1810912919207                                0.9559700977087204+1.5048588545239598E-5i
2359.8334667821937                                0.9559716187718239+1.3257303354591354E-5i
2982.471286216894                                 0.9559728157223382+1.174172682063718E-5i
3769.3909753883636                                0.955973733498906+1.0535378916739695E-5i
4763.938010401341                                 0.9559744194761695+9.667365964236404E-6i
6020.894493336138                                 0.9559749197297356+9.164489914515784E-6i
7609.496685459883                                 0.9559752762520684+9.054781322659244E-6i
9617.248711152964                                 0.9559755252689907+9.372025118629578E-6i
12154.742500762884                                0.9559756966033324+1.0160940449280452E-5i
15361.749466718296                                0.955975813895386+1.148283403351733E-5i
19414.919457438817                                0.9559758954293789+1.3421735364108122E-5i
24537.51106639822                                 0.9559759553295792+1.609121273765122E-5i
31011.689265747817                                0.9559760049572873+1.9642235922137308E-5i
39194.06774847221                                 0.9559760544418853+2.4272592587783894E-5i
49535.352089591805                                0.9559761144007133+3.0238484728861366E-5i
62605.16572014828                                 0.9559761980339722+3.786904909764223E-5i
79123.42618981327                                 0.9559763239376966+4.758467979350698E-5i
100000                                            0.9559765201934903+5.992019869559947E-5i
