% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 22 2025, 20:28
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9594445521475096+3.6414097984892483E-7i
0.1263848202934298                                0.9594445528136948+4.6021631202714957E-7i
0.15973122800602543                               0.959444553877673+5.816382881605056E-7i
0.2018760254679039                                0.9594445555773496+7.350918651591164E-7i
0.25514065200312885                               0.959444558292066+9.29023053588942E-7i
0.32245905452963947                               0.9594445626280871+1.174100758292553E-6i
0.4075392965871777                                0.9594445695533744+1.4837976115962799E-6i
0.5150678076168125                                0.9594445806135072+1.8751182865558358E-6i
0.6509675230458171                                0.9594445982756061+2.3695083352842124E-6i
0.822724134170047                                 0.9594446264762991+2.9939793654412407E-6i
1.03979841848149                                  0.9594446714931081+3.7824838934404513E-6i
1.3141473626117568                                0.9594447433262508+4.777558115682615E-6i
1.6608827826277157                                0.959444857881286+6.032208167946873E-6i
2.0991037201085545                                0.95944504039085+7.6119153489092044E-6i
2.6529484644318972                                0.9594453307210508+9.596421020454647E-6i
3.3529241492495583                                0.9594457914460396+1.208051761400947E-5i
4.237587160604064                                 0.9594465197542642+1.517224160958055E-5i
5.355666917706899                                 0.9594476640606175+1.8985387103443134E-5i
6.768750009458534                                 0.9594494448788385+2.3620930179283995E-5i
8.554672535565684                                 0.9594521754779144+2.912913683624555E-5i
10.811807510766078                                0.9594562687182007+3.544320394978907E-5i
13.664483492953257                                0.9594622012176505+4.228329779164294E-5i
17.26983290659436                                 0.9594703930503782+4.905923462781471E-5i
21.826447283974872                                0.9594809813589332+5.485494193441123E-5i
27.58531617629184                                 0.9594935620405268+5.86129325726279E-5i
34.863652276780876                                0.9595071097864629+5.954134391228717E-5i
44.06236427773573                                 0.9595202640885596+5.751933573929693E-5i
55.68813990945273                                 0.9595318601735724+5.315995168734334E-5i
70.38135554931561                                 0.9595413144254499+4.746745190818752E-5i
88.95134973108236                                 0.9595486319207315+4.1390157387603284E-5i
112.42100350620873                                0.9595541595916334+3.556778963102928E-5i
142.08308325339223                                0.9595583286476854+3.0317153620603784E-5i
179.5714494371641                                 0.9595615125797138+2.573535039468114E-5i
226.9510536694671                                 0.9595639908517367+2.180456823490384E-5i
286.83168133420116                                0.9595659589528875+1.8456928708498824E-5i
362.51170499885353                                0.959567546552292+1.560973616913596E-5i
458.1597669054491                                 0.9595688360667273+1.3185809645598756E-5i
579.0443980602489                                 0.9595698805849233+1.1122618390881783E-5i
731.8242219076182                                 0.9595707175322593+9.37307486171569E-6i
924.9147277217335                                 0.9595713769338212+7.902707983137876E-6i
1168.9518164985777                                0.9595718856572355+6.686162229560437E-6i
1477.3776525985127                                0.9595722690391928+5.704209061932176E-6i
1867.1810912919207                                0.9595725509724778+4.941786724303757E-6i
2359.8334667821937                                0.9595727533124042+4.387173000763441E-6i
2982.471286216894                                 0.9595728951975917+4.032127383509479E-6i
3769.3909753883636                                0.9595729926152383+3.872727212599218E-6i
4763.938010401341                                 0.9595730583220963+3.910630237837055E-6i
6020.894493336138                                 0.9595731020826019+4.154578586644153E-6i
7609.496685459883                                 0.9595731311170415+4.622072493154842E-6i
9617.248711152964                                 0.9595731506420789+5.341246854004902E-6i
12154.742500762884                                0.9595731644155302+6.353065491867731E-6i
15361.749466718296                                0.9595731752378021+7.714002284022393E-6i
19414.919457438817                                0.9595731854043167+9.499415173729724E-6i
24537.51106639822                                 0.9595731971334198+1.1807851595000508E-5i
31011.689265747817                                0.9595732130232244+1.4766561994514352E-5i
39194.06774847221                                 0.9595732366135815+1.8538551581207498E-5i
49535.352089591805                                0.9595732731700869+2.3331573147351815E-5i
62605.16572014828                                 0.9595733308558105+2.9409560644819194E-5i
79123.42618981327                                 0.9595734225531798+3.710712718009069E-5i
100000                                            0.9595735687393879+4.684790507339025E-5i
