% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 20 2025, 14:20
% Table:              Tabelle 1 - sigma_eff ((dflux.u21-dflux.u22)*2*pi/(pi*L^2)/E0/(2*mu*c0))
% w                                               Normalized effective conductivity
0.1                                               0.9990077207202364+7.015984692224905E-9i
0.1263848202934298                                0.9990077207361997+8.867060535461673E-9i
0.15973122800602543                               0.9990077207618917+1.120645880895662E-8i
0.2018760254679039                                0.9990077208025814+1.4162940399898306E-8i
0.25514065200312885                               0.9990077208676844+1.7899155969321377E-8i
0.32245905452963947                               0.9990077209716585+2.2620502463118845E-8i
0.4075392965871777                                0.9990077211375945+2.8586230200601942E-8i
0.5150678076168125                                0.9990077214026626+3.612330602857045E-8i
0.6509675230458171                                0.9990077218259716+4.564358352494496E-8i
0.822724134170047                                 0.9990077225015872+5.766479945412554E-8i
1.03979841848149                                  0.9990077235796331+7.283570027627803E-8i
1.3141473626117568                                0.9990077252985203+9.196498683849892E-8i
1.6608827826277157                                0.9990077280364048+1.1605232736147496E-7i
2.0991037201085545                                0.9990077323905245+1.4631661887131883E-7i
2.6529484644318972                                0.9990077392978864+1.8421047143802003E-7i
3.3529241492495583                                0.9990077502140114+2.313979749183407E-7i
4.237587160604064                                 0.9990077673648349+2.8965109633073694E-7i
5.355666917706899                                 0.9990077940701838+3.6058469229830144E-7i
6.768750009458534                                 0.9990078350791738+4.4510441163892203E-7i
8.554672535565684                                 0.9990078967293301+5.424183152155796E-7i
10.811807510766078                                0.9990079865040388+6.485613090899634E-7i
13.664483492953257                                0.9990081113370699+7.547900194280668E-7i
17.26983290659436                                 0.9990082742132922+8.47038021336138E-7i
21.826447283974872                                0.9990084699485084+9.083172073494304E-7i
27.58531617629184                                 0.9990086832445781+9.248312663289329E-7i
34.863652276780876                                0.9990088923557972+8.928308447750803E-7i
44.06236427773573                                 0.9990090773226428+8.207001128225269E-7i
55.68813990945273                                 0.9990092268623325+7.243341277087817E-7i
70.38135554931561                                 0.9990093395163316+6.199671290334203E-7i
88.95134973108236                                 0.9990094202931237+5.194816688429498E-7i
112.42100350620873                                0.9990094765425798+4.294407943883971E-7i
142.08308325339223                                0.9990095152631504+3.522773028672857E-7i
179.5714494371641                                 0.9990095420116698+2.879352292559877E-7i
226.9510536694671                                 0.9990095607838302+2.3515538953954495E-7i
286.83168133420116                                0.999009574288224+1.9226631997135817E-7i
362.51170499885353                                0.9990095842959085+1.575968672921868E-7i
458.1597669054491                                 0.999009591941374+1.296572081021701E-7i
579.0443980602489                                 0.9990095979439724+1.0719607983193589E-7i
731.8242219076182                                 0.9990096027595053+8.919954584624696E-8i
924.9147277217335                                 0.9990096066789235+7.486653983116764E-8i
1168.9518164985777                                0.9990096098906789+6.357875041601043E-8i
1477.3776525985127                                0.9990096125191561+5.487271173041026E-8i
1867.1810912919207                                0.9990096146485281+4.8417155604189444E-8i
2359.8334667821937                                0.9990096163367326+4.399637509549623E-8i
2982.471286216894                                 0.9990096176245573+4.149964965831505E-8i
3769.3909753883636                                0.9990096185405597+4.091643559099276E-8i
4763.938010401341                                 0.9990096191044744+4.233710738855776E-8i
6020.894493336138                                 0.9990096193293985+4.595926611445262E-8i
7609.496685459883                                 0.9990096192229776+5.210005419536852E-8i
9617.248711152964                                 0.9990096187888277+6.121506622381957E-8i
12154.742500762884                                0.9990096180271175+7.392487344674211E-8i
15361.749466718296                                0.9990096169362822+9.105084928643068E-8i
19414.919457438817                                0.9990096155146209+1.1366163111491558E-7i
24537.51106639822                                 0.999009613762699+1.4313350668979565E-7i
31011.689265747817                                0.9990096116872605+1.8122757534306762E-7i
39194.06774847221                                 0.9990096093077574+2.3018811113668595E-7i
49535.352089591805                                0.9990096066659355+2.9286726121409914E-7i
62605.16572014828                                 0.9990096038417451+3.728829648543011E-7i
79123.42618981327                                 0.999009600978094+4.748183337998612E-7i
100000                                            0.9990095983204403+6.044731588993257E-7i
