% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 16:25
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9981701413596+8.600350877253576E-9i
0.1263848202934298                                0.9981701413676102+1.0869522354030585E-8i
0.15973122800602543                               0.9981701413803237+1.3737394697595792E-8i
0.2018760254679039                                0.9981701414006575+1.7361917823294793E-8i
0.25514065200312885                               0.9981701414331193+2.194269989723268E-8i
0.32245905452963947                               0.9981701414849957+2.7731981915375202E-8i
0.4075392965871777                                0.9981701415678096+3.504849085296554E-8i
0.5150678076168125                                0.998170141700129+4.429491299517998E-8i
0.6509675230458171                                0.9981701419114839+5.597990815196185E-8i
0.822724134170047                                 0.9981701422490046+7.074579052774913E-8i
1.03979841848149                                  0.9981701427880634+8.940322909544521E-8i
1.3141473626117568                                0.9981701436488813+1.1297452911438493E-7i
1.6608827826277157                                0.9981701450233418+1.4274717761499442E-7i
2.0991037201085545                                0.9981701472173854+1.803391886291611E-7i
2.6529484644318972                                0.9981701507183055+2.2777701560328653E-7i
3.3529241492495583                                0.9981701563011808+2.875846565115654E-7i
4.237587160604064                                 0.998170165195344+3.628776066757825E-7i
5.355666917706899                                 0.9981701793426234+4.574446862293432E-7i
6.768750009458534                                 0.9981702017897673+5.757793429137003E-7i
8.554672535565684                                 0.9981702372660629+7.229811885933391E-7i
10.811807510766078                                0.9981702929862233+9.043761494420269E-7i
13.664483492953257                                0.9981703796523757+1.1245903550396615E-6i
17.26983290659436                                 0.9981705124270649+1.3856782509621195E-6i
21.826447283974872                                0.9981707111987087+1.683870132826038E-6i
27.58531617629184                                 0.9981709987211599+2.004917990329446E-6i
34.863652276780876                                0.9981713946105936+2.3194824859959205E-6i
44.06236427773573                                 0.9981719042627947+2.582669678312293E-6i
55.68813990945273                                 0.9981725065058623+2.743380743154175E-6i
70.38135554931561                                 0.9981731502685772+2.7642122160458927E-6i
88.95134973108236                                 0.9981737689491799+2.640706239948444E-6i
112.42100350620873                                0.9981743060268811+2.403771509744854E-6i
142.08308325339223                                0.998174733165721+2.103004699567367E-6i
179.5714494371641                                 0.998175050414928+1.7855639012417029E-6i
226.9510536694671                                 0.9981752748204177+1.4842487502289472E-6i
286.83168133420116                                0.9981754285607696+1.216313859003105E-6i
362.51170499885353                                0.9981755319100145+9.876150810388075E-7i
458.1597669054491                                 0.9981756007046899+7.973904162810228E-7i
579.0443980602489                                 0.9981756463011842+6.417862583631926E-7i
731.8242219076182                                 0.9981756764660813+5.159580752447173E-7i
924.9147277217335                                 0.9981756963873689+4.15133276047908E-7i
1168.9518164985777                                0.9981757095043804+3.3505915374624316E-7i
1477.3776525985127                                0.9981757181001529+2.721364548782528E-7i
1867.1810912919207                                0.9981757236979492+2.2341347209912293E-7i
2359.8334667821937                                0.9981757273179379+1.8653047070678759E-7i
2982.471286216894                                 0.9981757296432193+1.5965535077724517E-7i
3769.3909753883636                                0.9981757311289008+1.4142650526318472E-7i
4763.938010401341                                 0.998175732075671+1.3090797149998822E-7i
6020.894493336138                                 0.9981757326806477+1.275580532693768E-7i
7609.496685459883                                 0.998175733072639+1.3121249398351744E-7i
9617.248711152964                                 0.9981757333363379+1.4208323410770102E-7i
12154.742500762884                                0.9981757335295123+1.607745362960883E-7i
15361.749466718296                                0.9981757336948381+1.8831877933570399E-7i
19414.919457438817                                0.9981757338689663+2.262345167148843E-7i
24537.51106639822                                 0.9981757340907276+2.7661088384669817E-7i
31011.689265747817                                0.9981757344095408+3.4222286020553535E-7i
39194.06774847221                                 0.9981757348966975+4.266842682324232E-7i
49535.352089591805                                0.9981757356610255+5.346466651304336E-7i
62605.16572014828                                 0.9981757368730758+6.720551386147514E-7i
79123.42618981327                                 0.9981757388036476+8.4647492307266E-7i
100000                                            0.9981757418839248+1.0675062411488851E-6i
