% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 16:33
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9981434648283053+8.8396848953069E-9i
0.1263848202934298                                0.9981434648364955+1.1172003760722505E-8i
0.15973122800602543                               0.9981434648496313+1.4119684359752029E-8i
0.2018760254679039                                0.9981434648705505+1.7845072057508443E-8i
0.25514065200312885                               0.9981434649039378+2.2553329727300627E-8i
0.32245905452963947                               0.9981434649573234+2.850371773036265E-8i
0.4075392965871777                                0.9981434650425278+3.602383236269035E-8i
0.5150678076168125                                0.9981434651787133+4.5527565613499405E-8i
0.6509675230458171                                0.9981434653961453+5.7537731247766526E-8i
0.822724134170047                                 0.9981434657434797+7.271451598454168E-8i
1.03979841848149                                  0.9981434662981234+9.189114391527575E-8i
1.3141473626117568                                0.9981434671838998+1.161183605994304E-7i
1.6608827826277157                                0.9981434685981425+1.4671946369631759E-7i
2.0991037201085545                                0.9981434708557536+1.8535745768255717E-7i
2.6529484644318972                                0.9981434744580673+2.341151157102088E-7i
3.3529241492495583                                0.9981434802026018+2.955865276013958E-7i
4.237587160604064                                 0.9981434893543913+3.7297359193288E-7i
5.355666917706899                                 0.9981435039113921+4.7016997272641316E-7i
6.768750009458534                                 0.9981435270085224+5.917929808681942E-7i
8.554672535565684                                 0.9981435635118815+7.430818004274667E-7i
10.811807510766078                                0.9981436208447597+9.295059850198158E-7i
13.664483492953257                                0.9981437100180958+1.1558115816543228E-6i
17.26983290659436                                 0.9981438466311375+1.4240937156610629E-6i
21.826447283974872                                0.9981440511423499+1.730448272915676E-6i
27.58531617629184                                 0.998144346951394+2.060181433204672E-6i
34.863652276780876                                0.998144754215665+2.3830632506328255E-6i
44.06236427773573                                 0.9981452784376799+2.6528558872248125E-6i
55.68813990945273                                 0.9981458977518916+2.8169472234065516E-6i
70.38135554931561                                 0.998146559496983+2.8368487761990616E-6i
88.95134973108236                                 0.998147195016317+2.7080266724155666E-6i
112.42100350620873                                0.9981477460422822+2.4624070396252854E-6i
142.08308325339223                                0.9981481833675577+2.1512078751545574E-6i
179.5714494371641                                 0.9981485070880839+1.8231632112646896E-6i
226.9510536694671                                 0.9981487348897322+1.512196844408518E-6i
286.83168133420116                                0.9981488897993597+1.2361520314728918E-6i
362.51170499885353                                0.9981489928871181+1.0010514785777637E-6i
458.1597669054491                                 0.9981490606227531+8.060415678256819E-7i
579.0443980602489                                 0.99814910482013+6.470468726422896E-7i
731.8242219076182                                 0.9981491335479912+5.189516154562157E-7i
924.9147277217335                                 0.998149152171926+4.1671215570367316E-7i
1168.9518164985777                                0.9981491642139786+3.358348022870995E-7i
1477.3776525985127                                0.9981491719752273+2.7252480056666796E-7i
1867.1810912919207                                0.9981491769582342+2.2368487257889545E-7i
2359.8334667821937                                0.99814918014419+1.8685630915056095E-7i
2982.471286216894                                 0.9981491821732295+1.601466603741531E-7i
3769.3909753883636                                0.9981491834618763+1.42163232531021E-7i
4763.938010401341                                 0.9981491842801642+1.3195962992515385E-7i
6020.894493336138                                 0.9981491848025857+1.2899799417789858E-7i
7609.496685459883                                 0.9981491851420573+1.3312809715899066E-7i
9617.248711152964                                 0.998149185372948+1.445841952225762E-7i
12154.742500762884                                0.9981491855460753+1.6400077862645768E-7i
15361.749466718296                                0.9981491856999063+1.92449100657344E-7i
19414.919457438817                                0.9981491858686411+2.3149700328933132E-7i
24537.51106639822                                 0.9981491860900336+2.83295665045718E-7i
31011.689265747817                                0.9981491864133671+3.5069829040503625E-7i
39194.06774847221                                 0.9981491869109707+4.3741724290288043E-7i
49535.352089591805                                0.9981491876939217+5.482283702784448E-7i
62605.16572014828                                 0.9981491889371047+6.892336153120452E-7i
79123.42618981327                                 0.998149190918129+8.681962138891368E-7i
100000                                            0.9981491940794663+1.094966424648169E-6i
