% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 15:34
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9981965711329741+8.371620708820328E-9i
0.1263848202934298                                0.9981965711407164+1.0580442573707427E-8i
0.15973122800602543                               0.9981965711530846+1.3372042625522727E-8i
0.2018760254679039                                0.9981965711728529+1.6900170045210857E-8i
0.25514065200312885                               0.9981965712044255+2.135912436946309E-8i
0.32245905452963947                               0.9981965712548366+2.6994438259424074E-8i
0.4075392965871777                                0.9981965713354112+3.411636218879141E-8i
0.5150678076168125                                0.9981965714640237+4.311687332987131E-8i
0.6509675230458171                                0.9981965716695562+5.449110424792316E-8i
0.822724134170047                                 0.9981965719977338+6.886428845622572E-8i
1.03979841848149                                  0.9981965725218482+8.702553814120087E-8i
1.3141473626117568                                0.9981965733588436+1.0996997763503607E-7i
1.6608827826277157                                0.9981965746951771+1.3895086698239342E-7i
2.0991037201085545                                0.9981965768284862+1.755432185484866E-7i
2.6529484644318972                                0.998196580232463+2.2171965064918636E-7i
3.3529241492495583                                0.9981965856607142+2.7993715552989736E-7i
4.237587160604064                                 0.998196594308511+3.532286139250424E-7i
5.355666917706899                                 0.9981966080640047+4.452825685189667E-7i
6.768750009458534                                 0.9981966298894478+5.604739408678383E-7i
8.554672535565684                                 0.9981966643831536+7.037686695104768E-7i
10.811807510766078                                0.9981967185600328+8.803549068745544E-7i
13.664483492953257                                0.9981968028257392+1.0947433267264283E-6i
17.26983290659436                                 0.9981969319230215+1.3489483225491434E-6i
21.826447283974872                                0.9981971251901917+1.639327671982783E-6i
27.58531617629184                                 0.9981974047537341+1.9520607182533238E-6i
34.863652276780876                                0.9981977896968651+2.2586680128530957E-6i
44.06236427773573                                 0.998198285296283+2.5155646332765207E-6i
55.68813990945273                                 0.9981988710388433+2.6731447115416703E-6i
70.38135554931561                                 0.9981994974040492+2.6951006645320473E-6i
88.95134973108236                                 0.9982000998314022+2.5770858446689715E-6i
112.42100350620873                                0.9982006235692995+2.3490193569779302E-6i
142.08308325339223                                0.9982010411912827+2.0588697980095327E-6i
179.5714494371641                                 0.9982013527203252+1.7521797493363446E-6i
226.9510536694671                                 0.998201574549602+1.4605764958819237E-6i
286.83168133420116                                0.9982017279692685+1.2006928332069892E-6i
362.51170499885353                                0.9982018324076335+9.782084267695833E-7i
458.1597669054491                                 0.9982019030206093+7.924650813462108E-7i
579.0443980602489                                 0.9982019506707936+6.398594801288434E-7i
731.8242219076182                                 0.9982019828008777+5.158568150223211E-7i
924.9147277217335                                 0.9982020044184277+4.159961302280176E-7i
1168.9518164985777                                0.9982020188918529+3.36300672486842E-7i
1477.3776525985127                                0.9982020285087445+2.733906603899589E-7i
1867.1810912919207                                0.9982020348393773+2.244712060282254E-7i
2359.8334667821937                                0.9982020389669373+1.8728180795705587E-7i
2982.471286216894                                 0.9982020416356531+1.6004393519018997E-7i
3769.3909753883636                                0.9982020433508473+1.4141764449519937E-7i
4763.938010401341                                 0.9982020444501225+1.304684261425393E-7i
6020.894493336138                                 0.9982020451559811+1.2664395884616007E-7i
7609.496685459883                                 0.9982020456142966+1.2976150744667433E-7i
9617.248711152964                                 0.9982020459210316+1.400081326536542E-7i
12154.742500762884                                0.9982020461414419+1.579567597990301E-7i
15361.749466718296                                0.9982020463231098+1.8460071657214701E-7i
19414.919457438817                                0.9982020465057994+2.2141015104482426E-7i
24537.51106639822                                 0.9982020467302367+2.7041384392328356E-7i
31011.689265747817                                0.9982020470462099+3.343115328241772E-7i
39194.06774847221                                 0.9982020475244752+4.1662275952108084E-7i
49535.352089591805                                0.9982020482717678+5.218807222208563E-7i
62605.16572014828                                 0.9982020494550017+6.558816363387884E-7i
79123.42618981327                                 0.9982020513383753+8.260031157295884E-7i
100000                                            0.9982020543425538+1.041608828491197E-6i
