% Model:              modelG_beltrami_2_particles.mph
% Version:            COMSOL 6.4.0.293
% Date:               Apr 2 2026, 15:26
% Table:              Tabelle 1 - sigma_eff
% w                                               Normalized effective conductivity
0.1                                               0.9981969818179119+8.37178038758216E-9i
0.1263848202934298                                0.9981969818256308+1.0580644368188038E-8i
0.15973122800602543                               0.9981969818380013+1.3372297614419964E-8i
0.2018760254679039                                0.9981969818578105+1.6900492229573653E-8i
0.25514065200312885                               0.9981969818894028+2.135953141458638E-8i
0.32245905452963947                               0.9981969819398282+2.6994952388819843E-8i
0.4075392965871777                                0.9981969820204286+3.411701135644616E-8i
0.5150678076168125                                0.9981969821491352+4.311769254417474E-8i
0.6509675230458171                                0.9981969823547617+5.449213705724849E-8i
0.822724134170047                                 0.9981969826831697+6.886558847743404E-8i
1.03979841848149                                  0.9981969832076093+8.70271708466946E-8i
1.3141473626117568                                0.9981969840450774+1.0997201995659824E-7i
1.6608827826277157                                0.9981969853822277+1.3895340580519947E-7i
2.0991037201085545                                0.9981969875167955+1.7554634148660923E-7i
2.6529484644318972                                0.9981969909227887+2.2172342508085807E-7i
3.3529241492495583                                0.9981969963542121+2.799415788634591E-7i
4.237587160604064                                 0.9981970050070761+3.532335070335552E-7i
5.355666917706899                                 0.9981970187705083+4.452873580090769E-7i
6.768750009458534                                 0.9981970406084295+5.604772174413856E-7i
8.554672535565684                                 0.9981970751213498+7.037673282820213E-7i
10.811807510766078                                0.9981971293271799+8.803425263949115E-7i
13.664483492953257                                0.9981972136352648+1.0947072910646E-6i
17.26983290659436                                 0.9981973427907639+1.3488651215061777E-6i
21.826447283974872                                0.9981975361300537+1.6391564756816804E-6i
27.58531617629184                                 0.9981978157663315+1.9517375505440204E-6i
34.863652276780876                                0.9981982007489648+2.2581077094439227E-6i
44.06236427773573                                 0.9981986962972141+2.514682321505646E-6i
55.68813990945273                                 0.9981992818347238+2.6719020078996646E-6i
70.38135554931561                                 0.9981999078165276+2.693554976585804E-6i
88.95134973108236                                 0.9982005097324589+2.575397160034236E-6i
112.42100350620873                                0.9982010329413987+2.347394393479095E-6i
142.08308325339223                                0.9982014501263022+2.057482233157578E-6i
179.5714494371641                                 0.9982017613685579+1.7511213799971344E-6i
226.9510536694671                                 0.9982019830619087+1.4598561390191364E-6i
286.83168133420116                                0.9982021364619944+1.2002636604273496E-6i
362.51170499885353                                0.9982022409528569+9.779992017710754E-7i
458.1597669054491                                 0.9982023116516238+7.924028729391994E-7i
579.0443980602489                                 0.9982023593931482+6.398824136000017E-7i
731.8242219076182                                 0.9982023916035059+5.159192282398482E-7i
924.9147277217335                                 0.9982024132832232+4.160686958988595E-7i
1168.9518164985777                                0.9982024278000079+3.3636751821344255E-7i
1477.3776525985127                                0.9982024374445785+2.734452472053117E-7i
1867.1810912919207                                0.998202443791839+2.2451235265863657E-7i
2359.8334667821937                                0.9982024479289584+1.8731061257814639E-7i
2982.471286216894                                 0.9982024506031676+1.6006193124985625E-7i
3769.3909753883636                                0.9982024523215143+1.4142597560867695E-7i
4763.938010401341                                 0.9982024534225674+1.3046772223859404E-7i
6020.894493336138                                 0.9982024541294704+1.2663431200603203E-7i
7609.496685459883                                 0.9982024545882983+1.2974252505078092E-7i
9617.248711152964                                 0.9982024548952041+1.399789535015736E-7i
12154.742500762884                                0.9982024551156619+1.579158694248684E-7i
15361.749466718296                                0.998202455297418+1.8454594095721987E-7i
19414.919457438817                                0.9982024554801662+2.213384560093065E-7i
24537.51106639822                                 0.9982024557045458+2.7032126955054537E-7i
31011.689265747817                                0.9982024560205311+3.341929293338212E-7i
39194.06774847221                                 0.9982024564986558+4.164715868034565E-7i
49535.352089591805                                0.9982024572456647+5.216886512923099E-7i
62605.16572014828                                 0.9982024584284114+6.556380860136077E-7i
79123.42618981327                                 0.9982024603110633+8.256947072608344E-7i
100000                                            0.9982024633140621+1.0412186010432985E-6i
