% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 25 2025, 13:26
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9730518129986889+1.652522266982709E-7i
0.1263848202934298                                0.9730518133014333+2.088525435740216E-7i
0.15973122800602543                               0.9730518137848978+2.6395551740810294E-7i
0.2018760254679039                                0.973051814557347+3.335948725368494E-7i
0.25514065200312885                               0.9730518157910283+4.2160352219181356E-7i
0.32245905452963947                               0.973051817761493+5.32823156085134E-7i
0.4075392965871777                                0.9730518209085884+6.733678271747709E-7i
0.5150678076168125                                0.9730518259348058+8.509544625134856E-7i
0.6509675230458171                                0.973051833961165+1.0753152913765241E-6i
0.822724134170047                                 0.9730518467766937+1.3587084360545884E-6i
1.03979841848149                                  0.9730518672341982+1.716541776391795E-6i
1.3141473626117568                                0.9730518998781569+2.1681183378624133E-6i
1.6608827826277157                                0.9730519519367732+2.7374920492329327E-6i
2.0991037201085545                                0.9730520348770837+3.4543772278387744E-6i
2.6529484644318972                                0.9730521668162649+4.3549575567501955E-6i
3.3529241492495583                                0.9730523761918706+5.482242944351902E-6i
4.237587160604064                                 0.9730527071735257+6.885245188497509E-6i
5.355666917706899                                 0.9730532272147903+8.615571792210147E-6i
6.768750009458534                                 0.9730540365444795+1.071897828740272E-5i
8.554672535565684                                 0.9730552775657771+1.3218136356601896E-5i
10.811807510766078                                0.9730571379836843+1.6082448642096045E-5i
13.664483492953257                                0.9730598345420043+1.918437099744146E-5i
17.26983290659436                                 0.9730635583337757+2.2255045528739432E-5i
21.826447283974872                                0.9730683717520345+2.4877032630940297E-5i
27.58531617629184                                 0.9730740906457769+2.6568032991696513E-5i
34.863652276780876                                0.9730802473192024+2.6966206299014207E-5i
44.06236427773573                                 0.9730862201566687+2.6015405482529698E-5i
55.68813990945273                                 0.973091475463154+2.399495529111714E-5i
70.38135554931561                                 0.973095743994033+2.1364517910025488E-5i
88.95134973108236                                 0.9730990258965262+1.856047797270106E-5i
112.42100350620873                                0.9731014795887143+1.5879850076297743E-5i
142.08308325339223                                0.9731033047890512+1.3472004127631412E-5i
179.5714494371641                                 0.9731046768603235+1.1384145765102801E-5i
226.9510536694671                                 0.9731057286805835+9.60873492732063E-6i
286.83168133420116                                0.9731065542625862+8.113698875653338E-6i
362.51170499885353                                0.9731072168768853+6.8590540592541815E-6i
458.1597669054491                                 0.9731077573946783+5.806288426274014E-6i
579.0443980602489                                 0.9731082020688144+4.922706999641311E-6i
731.8242219076182                                 0.9731085684389648+4.182284333947642E-6i
924.9147277217335                                 0.9731088690631146+3.564993862515118E-6i
1168.9518164985777                                0.9731091136924583+3.0557758459547374E-6i
1477.3776525985127                                0.9731093104658053+2.6435786219490134E-6i
1867.1810912919207                                0.9731094665200811+2.3206309283821192E-6i
2359.8334667821937                                0.9731095882795257+2.0819721542204676E-6i
2982.471286216894                                 0.9731096815786255+1.9252143009318773E-6i
3769.3909753883636                                0.9731097516981102+1.850507431151576E-6i
4763.938010401341                                 0.9731098033561092+1.860696723837412E-6i
6020.894493336138                                 0.9731098406842383+1.961673915881527E-6i
7609.496685459883                                 0.9731098672114398+2.162934089168779E-6i
9617.248711152964                                 0.9731098858752855+2.4783518637028665E-6i
12154.742500762884                                0.9731098990716918+2.9271987778597992E-6i
15361.749466718296                                0.9731099087439354+3.535436907426604E-6i
19414.919457438817                                0.9731099165098935+4.337344985148075E-6i
24537.51106639822                                 0.9731099238241032+5.377559879252432E-6i
31011.689265747817                                0.9731099321820794+6.713646554185106E-6i
39194.06774847221                                 0.9731099433852392+8.419343458856628E-6i
49535.352089591805                                0.973109959906206+1.0588669106108884E-5i
62605.16572014828                                 0.9731099854217423+1.3341121478259499E-5i
79123.42618981327                                 0.9731100256246513+1.6828258317096035E-5i
100000                                            0.9731100894907303+2.1242015540682552E-5i
