% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 19 2025, 11:16
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9530075188257884+1.3441891820816984E-6i
0.1263848202934298                                0.9530075294562687+1.6985958832369347E-6i
0.15973122800602543                               0.9530075464241005+2.1462525303203386E-6i
0.2018760254679039                                0.9530075735006603+2.7114992601865663E-6i
0.25514065200312885                               0.9530076166829852+3.424831443335199E-6i
0.32245905452963947                               0.9530076854852215+4.324255779349436E-6i
0.4075392965871777                                0.9530077949499645+5.456739827166976E-6i
0.5150678076168125                                0.9530079686934135+6.879528881341603E-6i
0.6509675230458171                                0.9530082434408393+8.660828630441242E-6i
0.822724134170047                                 0.9530086753824981+1.087886356437875E-5i
1.03979841848149                                  0.953009348332027+1.3617569703086215E-5i
1.3141473626117568                                0.9530103823441946+1.695633259542902E-5i
1.6608827826277157                                0.9530119386810658+2.0951096993228333E-5i
2.0991037201085545                                0.9530142127994781+2.5607070233137035E-5i
2.6529484644318972                                0.9530174049687238+3.0852152851390415E-5i
3.3529241492495583                                0.9530216670231293+3.6533491153825954E-5i
4.237587160604064                                 0.9530270504798004+4.2460546288411815E-5i
5.355666917706899                                 0.9530335033741645+4.8483555333390035E-5i
6.768750009458534                                 0.9530409332179971+5.4547510920234E-5i
8.554672535565684                                 0.9530492838071511+6.067385048747309E-5i
10.811807510766078                                0.9530585608791075+6.689630340748078E-5i
13.664483492953257                                0.9530688000786277+7.321114080291615E-5i
17.26983290659436                                 0.9530800122773287+7.957531929140042E-5i
21.826447283974872                                0.953092152129932+8.595336984564527E-5i
27.58531617629184                                 0.9531051447718166+9.23713324669674E-5i
34.863652276780876                                0.9531189455727047+9.892063338421257E-5i
44.06236427773573                                 0.9531335709540525+1.05716540792489E-4i
55.68813990945273                                 0.9531490891683712+1.1286176856506337E-4i
70.38135554931561                                 0.9531656018075138+1.2043221546714765E-4i
88.95134973108236                                 0.9531832289716949+1.284726356052085E-4i
112.42100350620873                                0.953202097283949+1.3699840792273668E-4i
142.08308325339223                                0.9532223349430918+1.4600098140322428E-4i
179.5714494371641                                 0.9532440736491721+1.554489210630852E-4i
226.9510536694671                                 0.953267449531392+1.6528096817934422E-4i
286.83168133420116                                0.9532925967295705+1.7539588656054954E-4i
362.51170499885353                                0.9533196343770347+1.8564612970013903E-4i
458.1597669054491                                 0.9533486521516782+1.958376233428985E-4i
579.0443980602489                                 0.9533796974721007+2.0573348729622634E-4i
731.8242219076182                                 0.9534127640274713+2.1505993818438606E-4i
924.9147277217335                                 0.9534477811804632+2.2351458642457103E-4i
1168.9518164985777                                0.9534846047997889+2.307776182482519E-4i
1477.3776525985127                                0.9535230103170432+2.3652593272964956E-4i
1867.1810912919207                                0.9535626888216411+2.4045012638369877E-4i
2359.8334667821937                                0.953603247171164+2.4227403305107151E-4i
2982.471286216894                                 0.9536442131031339+2.4177619508112774E-4i
3769.3909753883636                                0.9536850463261214+2.3881219266379893E-4i
4763.938010401341                                 0.9537251563799183+2.3333621636661996E-4i
6020.894493336138                                 0.9537639273769308+2.2541972494713258E-4i
7609.496685459883                                 0.953800749054454+2.1526467722443889E-4i
9617.248711152964                                 0.953835052264699+2.0320885060029836E-4i
12154.742500762884                                0.953866345878698+1.897213284190413E-4i
15361.749466718296                                0.9538942511627689+1.7538746824350402E-4i
19414.919457438817                                0.9539185291717995+1.608843495744413E-4i
24537.51106639822                                 0.9539390971865075+1.4694964409516916E-4i
31011.689265747817                                0.953956031414363+1.3434844561952604E-4i
39194.06774847221                                 0.9539695552148308+1.2384371455806119E-4i
49535.352089591805                                0.953980013922828+1.1617621272285445E-4i
62605.16572014828                                 0.9539878399047192+1.1205931390229402E-4i
79123.42618981327                                 0.9539935129298942+1.1219303029784739E-4i
100000                                            0.9539975228747757+1.1729970153526501E-4i
