% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 19 2025, 12:47
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9533557277066926+1.1539623696806444E-6i
0.1263848202934298                                0.9533557368484504+1.4582139423284244E-6i
0.15973122800602543                               0.9533557514411186+1.8425186144678727E-6i
0.2018760254679039                                0.9533557747270706+2.3277716268927005E-6i
0.25514065200312885                               0.9533558118611783+2.9401520275596346E-6i
0.32245905452963947                               0.953355871034016+3.712286518223586E-6i
0.4075392965871777                                0.9533559651740812+4.6844931019519745E-6i
0.5150678076168125                                0.9533561145986433+5.905910157078733E-6i
0.6509675230458171                                0.9533563508879453+7.435079442624507E-6i
0.822724134170047                                 0.9533567223790732+9.339131619500233E-6i
1.03979841848149                                  0.953357301169857+1.1690075782972286E-5i
1.3141473626117568                                0.9533581905530041+1.4555963867459724E-5i
1.6608827826277157                                0.9533595292984636+1.7984622448016272E-5i
2.0991037201085545                                0.9533614856749619+2.1980125674855745E-5i
2.6529484644318972                                0.9533642321780984+2.6479840644532214E-5i
3.3529241492495583                                0.9533678996802247+3.135130856266276E-5i
4.237587160604064                                 0.9533725325988975+3.6429172776694556E-5i
5.355666917706899                                 0.9533780859257998+4.1582740596204394E-5i
6.768750009458534                                 0.9533844792527085+4.6762681799952207E-5i
8.554672535565684                                 0.9533916630560032+5.1985465608315735E-5i
10.811807510766078                                0.9533996409766259+5.727805705117053E-5i
13.664483492953257                                0.9534084422722501+6.26347968699043E-5i
17.26983290659436                                 0.9534180744541906+6.801552889603235E-5i
21.826447283974872                                0.9534284956119711+7.338600288223695E-5i
27.58531617629184                                 0.9534396369799604+7.876486040532062E-5i
34.863652276780876                                0.9534514543913513+8.422775463836641E-5i
44.06236427773573                                 0.9534639553624316+8.987209183412262E-5i
55.68813990945273                                 0.9534771916665525+9.578588439398255E-5i
70.38135554931561                                 0.953491244027783+1.0203550899947266E-4i
88.95134973108236                                 0.9535062099285554+1.086617546735622E-4i
112.42100350620873                                0.9535221937779452+1.1568078628181538E-4i
142.08308325339223                                0.9535393026923905+1.2308814180292933E-4i
179.5714494371641                                 0.9535576478389384+1.3085909461336135E-4i
226.9510536694671                                 0.9535773448413891+1.389424261422823E-4i
286.83168133420116                                0.9535985078522173+1.4725163899979821E-4i
362.51170499885353                                0.9536212380531848+1.5565952469141092E-4i
458.1597669054491                                 0.9536456109214213+1.639980246168839E-4i
579.0443980602489                                 0.9536716648740716+1.7206156131400734E-4i
731.8242219076182                                 0.953699391040127+1.7961235324023754E-4i
924.9147277217335                                 0.9537287238339177+1.8638790233280498E-4i
1168.9518164985777                                0.9537595327192282+1.9211111927822731E-4i
1477.3776525985127                                0.9537916159481882+1.9650319821914796E-4i
1867.1810912919207                                0.9538246970630849+1.992991834227809E-4i
2359.8334667821937                                0.9538584250186493+2.0026600806691524E-4i
2982.471286216894                                 0.9538923789999272+1.9922247850437941E-4i
3769.3909753883636                                0.9539260789557577+1.9606020814960727E-4i
4763.938010401341                                 0.9539590026759012+1.907639059552318E-4i
6020.894493336138                                 0.9539906098201336+1.8342879590504426E-4i
7609.496685459883                                 0.9540203722082387+1.7427247005370614E-4i
9617.248711152964                                 0.9540478085373529+1.6363840268764483E-4i
12154.742500762884                                0.9540725201829117+1.519889533925043E-4i
15361.749466718296                                0.9540942234380303+1.398871147267442E-4i
19414.919457438817                                0.9541127730694374+1.279684240898706E-4i
24537.51106639822                                 0.9541281725820823+1.1690698315743376E-4i
31011.689265747817                                0.9541405685418812+1.0738171910816389E-4i
39194.06774847221                                 0.9541502292214644+1.0005015668600832E-4i
49535.352089591805                                0.9541575111916386+9.553651939980137E-5i
62605.16572014828                                 0.9541628201514534+9.443894407555695E-5i
79123.42618981327                                 0.9541665737088715+9.735748063674824E-5i
100000                                            0.9541691732789191+1.0494140807198724E-4i
