% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 30 2025, 12:05
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9720977159015917+2.2189115924662466E-8i
0.1263848202934298                                0.9720977161174031+2.8037256897678666E-8i
0.15973122800602543                               0.9720977164611817+3.542190117681282E-8i
0.2018760254679039                                0.9720977170103536+4.4741855832877916E-8i
0.25514065200312885                               0.9720977178849359+5.64945268726064E-8i
0.32245905452963947                               0.9720977192758287+7.129539437505099E-8i
0.4075392965871777                                0.9720977214819523+8.989640249247331E-8i
0.5150678076168125                                0.9720977249688586+1.1319755534416466E-7i
0.6509675230458171                                0.9720977304475704+1.4224070472360282E-7i
0.822724134170047                                 0.9720977389797503+1.7816686416685328E-7i
1.03979841848149                                  0.9720977520947691+2.221102883812208E-7i
1.3141473626117568                                0.9720977718927771+2.750001939662236E-7i
1.6608827826277157                                0.9720978010631374+3.372544652906496E-7i
2.0991037201085545                                0.9720978427345405+4.0838799125146146E-7i
2.6529484644318972                                0.9720979000523403+4.866334744984536E-7i
3.3529241492495583                                0.9720979754153277+5.688086109378946E-7i
4.237587160604064                                 0.9720980695925789+6.507786230961921E-7i
5.355666917706899                                 0.9720981813238841+7.2859252236037E-7i
6.768750009458534                                 0.972098307918674+7.996283310755127E-7i
8.554672535565684                                 0.9720984464428821+8.628786569342178E-7i
10.811807510766078                                0.972098594557013+9.184103387912887E-7i
13.664483492953257                                0.9720987507463409+9.666087528158375E-7i
17.26983290659436                                 0.9720989140487549+1.0075119728501544E-6i
21.826447283974872                                0.9720990833198088+1.0406027084589673E-6i
27.58531617629184                                 0.9720992566848046+1.0654086665753964E-6i
34.863652276780876                                0.9720994318785212+1.0822984750829945E-6i
44.06236427773573                                 0.9720996071111923+1.0925208095300437E-6i
55.68813990945273                                 0.9720997814962169+1.0975704927148448E-6i
70.38135554931561                                 0.9720999548703253+1.0986067364112737E-6i
88.95134973108236                                 0.9721001274183315+1.0962104818462577E-6i
112.42100350620873                                0.9721002993030182+1.0903676112867252E-6i
142.08308325339223                                0.9721004703676153+1.0806085818384245E-6i
179.5714494371641                                 0.972100639936824+1.0662770625873158E-6i
226.9510536694671                                 0.9721008067970677+1.046834556904778E-6i
286.83168133420116                                0.9721009692884813+1.0221096702988218E-6i
362.51170499885353                                0.9721011254558852+9.924679800510163E-7i
458.1597669054491                                 0.9721012732004223+9.589246533328986E-7i
579.0443980602489                                 0.9721014104271407+9.232283923633572E-7i
731.8242219076182                                 0.9721015351918882+8.879341165489736E-7i
924.9147277217335                                 0.9721016458625747+8.564636032488416E-7i
1168.9518164985777                                0.9721017412888567+8.331306642464537E-7i
1477.3776525985127                                0.9721018209645913+8.23099644586991E-7i
1867.1810912919207                                0.9721018850736962+8.322861320284789E-7i
2359.8334667821937                                0.9721019343847314+8.672905982891929E-7i
2982.471286216894                                 0.9721019699686184+9.35504928920357E-7i
3769.3909753883636                                0.9721019928991612+1.0454816734258798E-6i
4763.938010401341                                 0.9721020040268895+1.2075489917241276E-6i
6020.894493336138                                 0.9721020038896973+1.4345972990253812E-6i
7609.496685459883                                 0.9721019927362482+1.7429871214333247E-6i
9617.248711152964                                 0.9721019705998187+2.1535907413924467E-6i
12154.742500762884                                0.9721019373833586+2.693027805609833E-6i
15361.749466718296                                0.9721018929508162+3.3951792900022177E-6i
19414.919457438817                                0.9721018372116614+4.3030824715586885E-6i
24537.51106639822                                 0.9721017702259287+5.471327916456014E-6i
31011.689265747817                                0.9721016923574823+6.969100669108733E-6i
39194.06774847221                                 0.9721016045234838+8.884030571275307E-6i
49535.352089591805                                0.9721015085996644+1.1327052787835226E-5i
62605.16572014828                                 0.9721014080620552+1.4438533986421944E-5i
79123.42618981327                                 0.9721013090134184+1.8395988519483143E-5i
100000                                            0.9721012217927405+2.342379084985576E-5i
