% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 30 2025, 12:48
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9728969710276891+1.654311167061715E-8i
0.1263848202934298                                0.9728969711789256+2.0904118923324723E-8i
0.15973122800602543                               0.9728969714165849+2.6411842507325058E-8i
0.2018760254679039                                0.9728969717950157+3.336485848382053E-8i
0.25514065200312885                               0.9728969724003653+4.2136503541359257E-8i
0.32245905452963947                               0.9728969733689414+5.319059404153758E-8i
0.4075392965871777                                0.9728969749012593+6.70973955369513E-8i
0.5150678076168125                                0.9728969773362254+8.454633962823065E-8i
0.6509675230458171                                0.9728969811732561+1.0634816684532628E-7i
0.822724134170047                                 0.9728969871892142+1.334129001625346E-7i
1.03979841848149                                  0.9728969965255279+1.666810453096541E-7i
1.3141473626117568                                0.9728970107966242+2.0697637946569698E-7i
1.6608827826277157                                0.9728970321564593+2.5474823063324703E-7i
2.0991037201085545                                0.972897063205729+3.0969973592175456E-7i
2.6529484644318972                                0.9728971066408748+3.7039007927785946E-7i
3.3529241492495583                                0.9728971645129926+4.3406714896807025E-7i
4.237587160604064                                 0.9728972373634414+4.970956014824971E-7i
5.355666917706899                                 0.9728973238411446+5.560473871415426E-7i
6.768750009458534                                 0.9728974212638741+6.088172522016912E-7i
8.554672535565684                                 0.9728975267509273+6.549400654003191E-7i
10.811807510766078                                0.9728976380994768+6.950958375429465E-7i
13.664483492953257                                0.9728977541109871+7.303531734971956E-7i
17.26983290659436                                 0.9728978743126757+7.614768426341144E-7i
21.826447283974872                                0.9728979983492706+7.886373700497606E-7i
27.58531617629184                                 0.972898125434651+8.118362032171763E-7i
34.863652276780876                                0.9728982544910882+8.315688462957141E-7i
44.06236427773573                                 0.972898384876892+8.488897685616997E-7i
55.68813990945273                                 0.9728985167296583+8.648636652426833E-7i
70.38135554931561                                 0.9728986507500293+8.800263733366148E-7i
88.95134973108236                                 0.9728987877750368+8.941780375758118E-7i
112.42100350620873                                0.9728989283733133+9.064350935229436E-7i
142.08308325339223                                0.9728990725225791+9.154526665147267E-7i
179.5714494371641                                 0.9728992194646809+9.197661738516872E-7i
226.9510536694671                                 0.9728993676937027+9.181470973151068E-7i
286.83168133420116                                0.9728995151506104+9.098761498380393E-7i
362.51170499885353                                0.9728996593913969+8.949144445116873E-7i
458.1597669054491                                 0.9728997977960112+8.740051389497638E-7i
579.0443980602489                                 0.9728999277611685+8.487420609621997E-7i
731.8242219076182                                 0.972900046832639+8.216253336900623E-7i
924.9147277217335                                 0.9729001529526257+7.961022234229449E-7i
1168.9518164985777                                0.9729002446059843+7.765654251691542E-7i
1477.3776525985127                                0.972900321025782+7.682721759233377E-7i
1867.1810912919207                                0.972900382264902+7.771918686214538E-7i
2359.8334667821937                                0.972900429055909+8.098802658579936E-7i
2982.471286216894                                 0.9729004625270542+8.735329456657303E-7i
3769.3909753883636                                0.9729004838490649+9.763165384540513E-7i
4763.938010401341                                 0.9729004939705239+1.1279599299433201E-6i
6020.894493336138                                 0.9729004935055005+1.3405216864998278E-6i
7609.496685459883                                 0.9729004827659168+1.6292739857790355E-6i
9617.248711152964                                 0.9729004617996455+2.013705142693871E-6i
12154.742500762884                                0.9729004305270729+2.5186920959926484E-6i
15361.749466718296                                0.9729003888060893+3.175921712753238E-6i
19414.919457438817                                0.9729003365387866+4.025659721919998E-6i
24537.51106639822                                 0.9729002737536069+5.118987389305957E-6i
31011.689265747817                                0.97290020082846+6.520642765113679E-6i
39194.06774847221                                 0.9729001185700804+8.312622700962382E-6i
49535.352089591805                                0.9729000287449427+1.0598729995961385E-5i
62605.16572014828                                 0.97289993458537+1.3510305089606E-5i
79123.42618981327                                 0.9728998417587343+1.7213446441385016E-5i
100000                                            0.9728997599147137+2.1918098653015078E-5i
