% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 27 2025, 11:23
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9644943906036278+2.769687574890063E-7i
0.1263848202934298                                0.9644943911162264+3.5004445320786716E-7i
0.15973122800602543                               0.9644943919349751+4.4239898895590995E-7i
0.2018760254679039                                0.964494393242895+5.591169626290305E-7i
0.25514065200312885                               0.9644943953317976+7.066224063535352E-7i
0.32245905452963947                               0.9644943986683691+8.930300254384439E-7i
0.4075392965871777                                0.9644944039973266+1.1285869063325253E-6i
0.5150678076168125                                0.9644944125079943+1.426226315218797E-6i
0.6509675230458171                                0.9644944260987639+1.8022586423337344E-6i
0.822724134170047                                 0.9644944477989645+2.2772265629948724E-6i
1.03979841848149                                  0.9644944824388666+2.8769494362074978E-6i
1.3141473626117568                                0.9644945377135297+3.633770140334849E-6i
1.6608827826277157                                0.9644946258618159+4.587984418865198E-6i
2.0991037201085545                                0.9644947662992479+5.789355320261851E-6i
2.6529484644318972                                0.9644949897002667+7.298449384144689E-6i
3.3529241492495583                                0.9644953442099803+9.187195869025123E-6i
4.237587160604064                                 0.9644959046006419+1.1537429326715658E-5i
5.355666917706899                                 0.964496785042769+1.443503603975904E-5i
6.768750009458534                                 0.9644981551360843+1.7955528786239195E-5i
8.554672535565684                                 0.9645002557333918+2.2134701382620533E-5i
10.811807510766078                                0.9645034040349563+2.691730463065E-5i
13.664483492953257                                0.9645079656543556+3.208287616171013E-5i
17.26983290659436                                 0.9645142613293525+3.717055079427596E-5i
21.826447283974872                                0.9645223914843057+4.1467115175810825E-5i
27.58531617629184                                 0.9645320357801422+4.41498360368599E-5i
34.863652276780876                                0.9645423900985649+4.460198800195281E-5i
44.06236427773573                                 0.9645523865085623+4.272852836465149E-5i
55.68813990945273                                 0.9645611041081799+3.900863696981896E-5i
70.38135554931561                                 0.9645680706888864+3.423514710359885E-5i
88.95134973108236                                 0.9645732761303459+2.9170489183554626E-5i
112.42100350620873                                0.9645769902992051+2.4346615648398635E-5i
142.08308325339223                                0.9645795673629425+2.0042640974723055E-5i
179.5714494371641                                 0.9645813295515585+1.6353814580918354E-5i
226.9510536694671                                 0.9645825275881507+1.3270702048835551E-5i
286.83168133420116                                0.9645833418727912+1.073524334842226E-5i
362.51170499885353                                0.9645838967040613+8.673032547878589E-6i
458.1597669054491                                 0.9645842756485938+7.010050420786591E-6i
579.0443980602489                                 0.9645845344867059+5.680150693138782E-6i
731.8242219076182                                 0.9645847107388351+4.627340676551579E-6i
924.9147277217335                                 0.9645848300122611+3.8056526532227573E-6i
1168.9518164985777                                0.9645849100319321+3.1782065948522917E-6i
1477.3776525985127                                0.9645849631786101+2.716172651108873E-6i
1867.1810912919207                                0.964584998114407+2.3978987091045203E-6i
2359.8334667821937                                0.9645850208654215+2.2082760050445346E-6i
2982.471286216894                                 0.9645850355799069+2.1383439118334297E-6i
3769.3909753883636                                0.9645850450779+2.1851247180568E-6i
4763.938010401341                                 0.9645850512585268+2.351691770137988E-6i
6020.894493336138                                 0.9645850554007139+2.64749310205939E-6i
7609.496685459883                                 0.9645850583846381+3.0889682901699054E-6i
9617.248711152964                                 0.9645850608577894+3.7005112327998516E-6i
12154.742500762884                                0.9645850633644861+4.51584622720744E-6i
15361.749466718296                                0.9645850664614575+5.579903036899844E-6i
19414.919457438817                                0.9645850708390393+6.95130071599438E-6i
24537.51106639822                                 0.9645850774744595+8.705580411861934E-6i
31011.689265747817                                0.9645850878497156+1.0939366813551687E-5i
39194.06774847221                                 0.9645851042820289+1.377568774245868E-5i
49535.352089591805                                0.9645851304415197+1.737074326652889E-5i
62605.16572014828                                 0.9645851721708758+2.192249339765104E-5i
79123.42618981327                                 0.9645852387895238+2.7681529072173975E-5i
100000                                            0.9645853451746749+3.496480811866054E-5i
