% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 27 2025, 10:50
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9672857948511326+2.3815649295862254E-7i
0.1263848202934298                                0.9672857952919474+3.0099192454706866E-7i
0.15973122800602543                               0.9672857959959764+3.8040460825554257E-7i
0.2018760254679039                                0.967285797120777+4.807666256520286E-7i
0.25514065200312885                               0.967285798917145+6.076017945480355E-7i
0.32245905452963947                               0.9672858017864346+7.678876878429913E-7i
0.4075392965871777                                0.9672858063690313+9.704354441036242E-7i
0.5150678076168125                                0.9672858136878069+1.2263659615196133E-6i
0.6509675230458171                                0.9672858253752238+1.5497040166942595E-6i
0.822724134170047                                 0.9672858440363231+1.95811359196527E-6i
1.03979841848149                                  0.9672858738249541+2.473795916647012E-6i
1.3141473626117568                                0.9672859213584849+3.1245615820131924E-6i
1.6608827826277157                                0.9672859971617661+3.945059580128838E-6i
2.0991037201085545                                0.9672861179312536+4.978079518726145E-6i
2.6529484644318972                                0.9672863100456061+6.275700535070237E-6i
3.3529241492495583                                0.9672866149076912+7.89977209906271E-6i
4.237587160604064                                 0.9672870968190909+9.920660656027721E-6i
5.355666917706899                                 0.967287853963111+1.2412215897978453E-5i
6.768750009458534                                 0.9672890321933684+1.5439365738175167E-5i
8.554672535565684                                 0.9672908386447719+1.9032879796107366E-5i
10.811807510766078                                0.9672935461225944+2.314522893043402E-5i
13.664483492953257                                0.9672974690907682+2.758678872780438E-5i
17.26983290659436                                 0.9673028834526373+3.1961147170431706E-5i
21.826447283974872                                0.9673098756561243+3.565477775580335E-5i
27.58531617629184                                 0.9673181702216962+3.7959822969305035E-5i
34.863652276780876                                0.9673270754007426+3.834548783247991E-5i
44.06236427773573                                 0.9673356722456209+3.672971090657504E-5i
55.68813990945273                                 0.9673431680255185+3.3524598855886E-5i
70.38135554931561                                 0.9673491559234235+2.9412456168031458E-5i
88.95134973108236                                 0.9673536268354588+2.5049806555475267E-5i
112.42100350620873                                0.9673568129270861+2.0895088985945256E-5i
142.08308325339223                                0.9673590193287193+1.7189134392347068E-5i
179.5714494371641                                 0.9673605239682539+1.40142664304718E-5i
226.9510536694671                                 0.9673615432688185+1.1362384116859328E-5i
286.83168133420116                                0.9673622330073884+9.18331833834737E-6i
362.51170499885353                                0.9673627005353101+7.412728986699363E-6i
458.1597669054491                                 0.9673630180213225+5.986553156571394E-6i
579.0443980602489                                 0.9673632335883221+4.847479150752975E-6i
731.8242219076182                                 0.9673633795139738+3.94695500518851E-6i
924.9147277217335                                 0.9673634777189332+3.2451189240395663E-6i
1168.9518164985777                                0.9673635432745066+2.7100140354755316E-6i
1477.3776525985127                                0.967363586625089+2.3166977606559805E-6i
1867.1810912919207                                0.9673636150176577+2.0464797873314383E-6i
2359.8334667821937                                0.9673636334542317+1.886357491579375E-6i
2982.471286216894                                 0.9673636453530225+1.8286555838400734E-6i
3769.3909753883636                                0.9673636530244796+1.8708658225863324E-6i
4763.938010401341                                 0.9673636580170996+2.0156919186557925E-6i
6020.894493336138                                 0.9673636613710634+2.2713186333529916E-6i
7609.496685459883                                 0.9673636638025805+2.65193709353975E-6i
9617.248711152964                                 0.9673636658406651+3.1785703412683792E-6i
12154.742500762884                                0.9673636679347242+3.880255970446693E-6i
15361.749466718296                                0.9673636705501418+4.795658863376103E-6i
19414.919457438817                                0.96736367427005+5.975207609166777E-6i
24537.51106639822                                 0.9673636799250014+7.483875180000496E-6i
31011.689265747817                                0.9673636887778704+9.404757930627587E-6i
39194.06774847221                                 0.9673637028060609+1.1843650250594606E-5i
49535.352089591805                                0.9673637251426928+1.493486559337917E-5i
62605.16572014828                                 0.967363760776645+1.8848620959773984E-5i
79123.42618981327                                 0.9673638176660431+2.3800384794588516E-5i
100000                                            0.9673639085153571+3.0062688453582904E-5i
