% Model:              Elementarzelle_halbiert.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 14 2025, 18:42
% Table:              Table 1 - Global Evaluation 3
% freq (Hz)                             d=5E-6
0.015915494309189534                    0.48278107455488+3.02024793021859e-06i
0.020915304871083843                    0.482781087939846+3.96888542143074e-06i
0.027485792734555654                    0.482781119968651+5.21532459098287e-06i
0.03612038203140968                     0.482781168019255+6.85285231156342e-06i
0.04746750478310612                     0.482781253594961+9.00372365512273e-06i
0.06237929622047983                     0.482781401405966+1.18278321119716e-05i
0.08197558760972107                     0.482781657010957+1.55335668877668e-05i
0.1077280022558639                      0.482782096695714+2.03908591865576e-05i
0.1415704700439769                      0.482782854725074+2.67456011070821e-05i
0.18604445983199888                     0.482784147544998+3.50325333010558e-05i
0.24448983621675013                     0.482786371978148+4.57789559277162e-05i
0.3212956734496226                      0.482790153559061+5.95815409285923e-05i
0.42222986188238953                     0.482796512027128+7.7019427858852e-05i
0.5548722594086685                      0.482807017983946+9.84372406330999e-05i
0.7291839162883279                      0.482823858271176+0.000123508814411351i
0.958255120449218                       0.482849604451782+0.0001505510173754i
1.2592884392475505                      0.482886245392652+0.000175859851324695i
1.6548905812046433                      0.482933395874511+0.000193929254995126i
2.174770092701119                       0.482986798278452+0.000199527862596676i
2.857968381610101                       0.483039218046384+0.000190882659224025i
3.7557916111207015                      0.483083940336144+0.000170973988131133i
4.9356636402736305                      0.483117794504247+0.000145443444637356i
6.486189355604334                       0.483141261805943+0.000119461902733815i
8.523808635067885                       0.483156679611264+9.61674715156374e-05i
11.201540637181768                      0.483166646047768+7.67780091240794e-05i
14.720475085540837                      0.483173237279348+6.13090092419879e-05i
19.344873510055564                      0.483177858814743+4.92128893594563e-05i
25.42201450329753                       0.48318135573803+3.97846385023488e-05i
33.40827331178628                       0.483184152599158+3.23790349501274e-05i
43.90339426209668                       0.483186433617597+2.65062323523956e-05i
57.695529779238484                      0.483188277851058+2.18455015880219e-05i
75.82042829387424                       0.483189748089471+1.81982767732326e-05i
99.63921587448867                       0.483190912662598+1.54268010171922e-05i
130.94061275416274                      0.483191845121969+1.34255563636477e-05i
172.07526090965018                      0.483192590819251+1.21217784089113e-05i
226.13225029514692                      0.483193193184637+1.14789499530377e-05i
297.17110032682865                      0.483193688303947+1.14954972104992e-05i
390.5266177389353                       0.483194103886561+1.22050183402901e-05i
513.209524731312                        0.483194460347305+1.36825263759836e-05i
674.4329433928862                       0.48319476829156+1.60556416173867e-05i
886.3042738182446                       0.483195037609573+1.95178886248024e-05i
1164.7344239097756                      0.483195275378122+2.43441335609275e-05i
1530.632671324154                       0.483195481533641+3.09106298708319e-05i
2011.4768881480225                      0.483195669384926+3.97226443033264e-05i
2643.3770475142305                      0.483195840266567+5.14524174523096e-05i
3473.7869753792743                      0.483196013762178+6.69899510735647e-05i
4565.0679919697495                      0.483196200591739+8.75100945392963e-05i
5999.172061790388                       0.483196429797257+0.000114560840021597i
7883.7961428559665                      0.483196737268777+0.000150179679320574i
10360.469908502919                      0.483197211426142+0.000197046360053766i
13615.184205677566                      0.483197963268199+0.00025868393648129i
17892.3584153644                        0.483199220671136+0.000339721914851345i
23513.19562245542                       0.483201343529689+0.00044624155928853i
30899.80401382406                       0.48320497702032+0.000586226288784082i
40606.895949987025                      0.483211226183037+0.000770147269600873i
53363.44521652553                       0.48322199533932+0.00101171836038135i
70127.43079117393                       0.483240572396702+0.0013288540648042i
92157.77822095962                       0.483272602851136+0.00174485335742568i
121108.90119323341                      0.48332779421016+0.00228978391844986i
159154.94309189534                      0.48342274689463+0.00300192189824524i
