% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 24 2025, 10:25
% Table:              Table 2 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9648120526973706+1.0415186249440264E-7i
0.1263848202934298                                0.9648120537393626+1.3159863063569428E-7i
0.15973122800602543                               0.9648120554013228+1.6625315374355816E-7i
0.2018760254679039                                0.9648120580507651+2.0998278061126655E-7i
0.25514065200312885                               0.9648120622697501+2.651130734856076E-7i
0.32245905452963947                               0.9648120689750979+3.345148132683315E-7i
0.4075392965871777                                0.9648120796019145+4.2168205271501887E-7i
0.5150678076168125                                0.9648120963681701+5.307717245259671E-7i
0.6509675230458171                                0.9648121226391355+6.665500849027321E-7i
0.822724134170047                                 0.9648121633819777+8.341582992856161E-7i
1.03979841848149                                  0.9648122256329064+1.0385846401815656E-6i
1.3141473626117568                                0.9648123188041595+1.2837539217069455E-6i
1.6608827826277157                                0.9648124545487492+1.5712636636790844E-6i
2.0991037201085545                                0.964812645886991+1.899001980838463E-6i
2.6529484644318972                                0.9648129054261384+2.260102784631888E-6i
3.3529241492495583                                0.9648132427315498+2.6429678607276274E-6i
4.237587160604064                                 0.9648136617195255+3.0332739886923507E-6i
5.355666917706899                                 0.9648141601348699+3.4178075865502935E-6i
6.768750009458534                                 0.9648147323767892+3.787440385749795E-6i
8.554672535565684                                 0.9648153733227588+4.136493671948291E-6i
10.811807510766078                                0.9648160796211257+4.4596651546944114E-6i
13.664483492953257                                0.9648168481727458+4.7496217611981065E-6i
17.26983290659436                                 0.9648176733553118+4.996646347701154E-6i
21.826447283974872                                0.9648185446572926+5.190845184259623E-6i
27.58531617629184                                 0.9648194471056916+5.325925456655978E-6i
34.863652276780876                                0.9648203647172472+5.401067605377601E-6i
44.06236427773573                                 0.9648212835097697+5.419499305715732E-6i
55.68813990945273                                 0.9648221921016645+5.3863526052400455E-6i
70.38135554931561                                 0.9648230813200845+5.307620913833385E-6i
88.95134973108236                                 0.9648239439912317+5.189637004852679E-6i
112.42100350620873                                0.9648247747181201+5.038586752951089E-6i
142.08308325339223                                0.9648255695399565+4.8601642540788645E-6i
179.5714494371641                                 0.9648263255624456+4.659361330251366E-6i
226.9510536694671                                 0.9648270405023063+4.440385019635973E-6i
286.83168133420116                                0.964827712194191+4.2068057238949655E-6i
362.51170499885353                                0.9648283382022713+3.9619813181046904E-6i
458.1597669054491                                 0.9648289156995559+3.7096509353276834E-6i
579.0443980602489                                 0.964829441649521+3.454516792453662E-6i
731.8242219076182                                 0.9648299132092188+3.2026745634491668E-6i
924.9147277217335                                 0.9648303282260785+2.9618278572564675E-6i
1168.9518164985777                                0.9648306857192437+2.7412819863994527E-6i
1477.3776525985127                                0.9648309862111085+2.5517686094222877E-6i
1867.1810912919207                                0.9648312318360187+2.405206680023016E-6i
2359.8334667821937                                0.9648314261783595+2.3145386164224068E-6i
2982.471286216894                                 0.9648315739002872+2.2937819985568552E-6i
3769.3909753883636                                0.9648316802178105+2.3584066627683283E-6i
4763.938010401341                                 0.9648317503544332+2.526099384183814E-6i
6020.894493336138                                 0.9648317890633081+2.817932319525052E-6i
7609.496685459883                                 0.9648318002936171+3.2599251530935683E-6i
9617.248711152964                                 0.9648317870250706+3.884991901680098E-6i
12154.742500762884                                0.9648317512674001+4.735290237372185E-6i
15361.749466718296                                0.9648316942027102+5.86503421147377E-6i
19414.919457438817                                0.9648316164285918+7.343885746549445E-6i
24537.51106639822                                 0.9648315182970258+9.261099577031572E-6i
31011.689265747817                                0.9648314003492271+1.173065528037023E-5i
39194.06774847221                                 0.9648312638888453+1.489767414840138E-5i
49535.352089591805                                0.9648311117804127+1.8946490388611227E-5i
62605.16572014828                                 0.9648309496420742+2.411082909515431E-5i
79123.42618981327                                 0.9648307876671708+3.0686636374969685E-5i
100000                                            0.9648306434796292+3.9048219881228327E-5i
