% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 20 2025, 16:11
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9624240644108325+5.931844961300876E-7i
0.1263848202934298                                0.9624240677830882+7.496238005400242E-7i
0.15973122800602543                               0.9624240731656456+9.47266876634305E-7i
0.2018760254679039                                0.9624240817527382+1.1969119793275242E-6i
0.25514065200312885                               0.9624240954434202+1.5121329688382685E-6i
0.32245905452963947                               0.9624241172463552+1.9099392954115717E-6i
0.4075392965871777                                0.9624241519090171+2.411541756715871E-6i
0.5150678076168125                                0.9624242068717098+3.043193126524746E-6i
0.6509675230458171                                0.962424293678462+3.83702486262617E-6i
0.822724134170047                                 0.9624244299921494+4.8317318414230816E-6i
1.03979841848149                                  0.9624246423528656+6.072882871126256E-6i
1.3141473626117568                                0.9624249698273303+7.612584526181342E-6i
1.6608827826277157                                0.9624254688508935+9.508145323826568E-6i
2.0991037201085545                                0.9624262199250759+1.1818921337926703E-5i
2.6529484644318972                                0.9624273368511863+1.4599088706558272E-5i
3.3529241492495583                                0.962428977359956+1.7881930927355683E-5i
4.237587160604064                                 0.9624313492842375+2.1650357581664715E-5i
5.355666917706899                                 0.962434699294892+2.5791525293829197E-5i
6.768750009458534                                 0.9624392637071768+3.00450870441667E-5i
8.554672535565684                                 0.962445164551707+3.398069119965247E-5i
10.811807510766078                                0.9624522745422526+3.706606173311458E-5i
13.664483492953257                                0.9624601478220866+3.88555486453618E-5i
17.26983290659436                                 0.9624681271070674+3.920994157069517E-5i
21.826447283974872                                0.962475602302362+3.837062820156178E-5i
27.58531617629184                                 0.9624822345564963+3.68165008085777E-5i
34.863652276780876                                0.9624879955363808+3.503039623952325E-5i
44.06236427773573                                 0.9624930522645815+3.334494273658915E-5i
55.68813990945273                                 0.9624976248114444+3.192015110400222E-5i
70.38135554931561                                 0.9625019033533586+3.0797387643492396E-5i
88.95134973108236                                 0.9625060288350314+2.9956833251089288E-5i
112.42100350620873                                0.9625100988072188+2.9349090880755395E-5i
142.08308325339223                                0.9625141730740774+2.8911913214987295E-5i
179.5714494371641                                 0.9625182800572454+2.858370901078411E-5i
226.9510536694671                                 0.9625224266231212+2.8311718273477067E-5i
286.83168133420116                                0.9625266068208593+2.8053756035346426E-5i
362.51170499885353                                0.9625308073480028+2.7777275405869912E-5i
458.1597669054491                                 0.9625350109374693+2.7457881519924803E-5i
579.0443980602489                                 0.9625391984238899+2.7077618799119227E-5i
731.8242219076182                                 0.9625433496790026+2.6623318184648872E-5i
924.9147277217335                                 0.9625474436498986+2.6085366461352835E-5i
1168.9518164985777                                0.9625514578375356+2.545715509330732E-5i
1477.3776525985127                                0.9625553675747068+2.4735320048904702E-5i
1867.1810912919207                                0.9625591454454268+2.3920768218893167E-5i
2359.8334667821937                                0.9625627611530528+2.3020374355437938E-5i
2982.471286216894                                 0.9625661820831781+2.2049122746786377E-5i
3769.3909753883636                                0.962569374687441+2.1032379912837363E-5i
4763.938010401341                                 0.9625723066618257+2.000793972062327E-5i
6020.894493336138                                 0.9625749497113963+1.9027507895393876E-5i
7609.496685459883                                 0.9625772825100559+1.8157411234752766E-5i
9617.248711152964                                 0.9625792933376393+1.7478531084198253E-5i
12154.742500762884                                0.9625809818659462+1.70857420035964E-5i
15361.749466718296                                0.9625823596831614+1.7087419312797494E-5i
19414.919457438817                                0.9625834494046432+1.76057888269919E-5i
24537.51106639822                                 0.9625842825417955+1.8778961310408384E-5i
31011.689265747817                                0.9625848966124162+2.076540530609348E-5i
39194.06774847221                                 0.9625853321683516+2.375141017401611E-5i
49535.352089591805                                0.9625856304693043+2.796186532725514E-5i
62605.16572014828                                 0.9625858324415484+3.367453768755877E-5i
79123.42618981327                                 0.9625859794315728+4.123803858571139E-5i
100000                                            0.9625861161924884+5.10938514086578E-5i
