% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 18 2025, 11:04
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9739128862714719+1.4165284281732288E-8i
0.1263848202934298                                0.9739128863935516+1.7899966941072187E-8i
0.15973122800602543                               0.9739128865857462+2.261718760331901E-8i
0.2018760254679039                                0.9739128868941114+2.85732904960891E-8i
0.25514065200312885                               0.9739128873873063+3.608932144452409E-8i
0.32245905452963947                               0.9739128881711757+4.556514923557714E-8i
0.4075392965871777                                0.9739128894192877+5.749438946354852E-8i
0.5150678076168125                                0.9739128914011735+7.247755091244313E-8i
0.6509675230458171                                0.9739128945401563+9.122768117757051E-8i
0.822724134170047                                 0.9739128994804795+1.145571161121742E-7i
1.03979841848149                                  0.9739129071931584+1.4332483728864436E-7i
1.3141473626117568                                0.9739129190817938+1.7831246280706633E-7i
1.6608827826277157                                0.9739129370559169+2.199912587222867E-7i
2.0991037201085545                                0.9739129634760554+2.681670200730251E-7i
2.6529484644318972                                0.9739130008219291+3.2158562541183295E-7i
3.3529241492495583                                0.9739130510019962+3.7775816506050386E-7i
4.237587160604064                                 0.9739131145286866+4.333644345038947E-7i
5.355666917706899                                 0.9739131901510375+4.852874421230104E-7i
6.768750009458534                                 0.9739132754039863+5.316596911565397E-7i
8.554672535565684                                 0.9739133677026293+5.721383387569031E-7i
10.811807510766078                                0.9739134651659869+6.07392416547812E-7i
13.664483492953257                                0.9739135668301054+6.383447579404821E-7i
17.26983290659436                                 0.9739136723651131+6.655344225401903E-7i
21.826447283974872                                0.9739137814121344+6.889266644680578E-7i
27.58531617629184                                 0.9739138930918408+7.08389911983207E-7i
34.863652276780876                                0.9739140062435288+7.243350526040977E-7i
44.06236427773573                                 0.9739141200740651+7.377664878324156E-7i
55.68813990945273                                 0.9739142345055738+7.497864078762531E-7i
70.38135554931561                                 0.9739143500075549+7.61125150608574E-7i
88.95134973108236                                 0.973914467274381+7.719441121085493E-7i
112.42100350620873                                0.9739145868990075+7.818265339814861E-7i
142.08308325339223                                0.973914709085662+7.899097392442592E-7i
179.5714494371641                                 0.9739148334727422+7.951474749113101E-7i
226.9510536694671                                 0.9739149591032285+7.966153247922011E-7i
286.83168133420116                                0.97391508454711+7.93757944829498E-7i
362.51170499885353                                0.9739152080631296+7.865410728821753E-7i
458.1597669054491                                 0.9739153277706571+7.7552892890826E-7i
579.0443980602489                                 0.9739154417845295+7.619212786235906E-7i
731.8242219076182                                 0.9739155483374918+7.475724368751897E-7i
924.9147277217335                                 0.9739156458679725+7.350057598809926E-7i
1168.9518164985777                                0.9739157330851399+7.2743529687196E-7i
1477.3776525985127                                0.973915809012639+7.28805979971031E-7i
1867.1810912919207                                0.9739158730062681+7.43862702824734E-7i
2359.8334667821937                                0.9739159247501352+7.782609060596417E-7i
2982.471286216894                                 0.9739159642208035+8.387344857750311E-7i
3769.3909753883636                                0.9739159916358545+9.333428158301667E-7i
4763.938010401341                                 0.9739160073750743+1.0718225874260217E-6i
6020.894493336138                                 0.9739160118866473+1.266075683564799E-6i
7609.496685459883                                 0.9739160055994207+1.5308287707845996E-6i
9617.248711152964                                 0.9739159888447045+1.8845005364521644E-6i
12154.742500762884                                0.9739159618243729+2.3503089799370914E-6i
15361.749466718296                                0.9739159246294548+2.9576558267529197E-6i
19414.919457438817                                0.9739158773004511+3.7438418709290157E-6i
24537.51106639822                                 0.9739158199375388+4.75619694792944E-6i
31011.689265747817                                0.9739157528673713+6.054740962871637E-6i
39194.06774847221                                 0.973915676877293+7.715527010106394E-6i
49535.352089591805                                0.9739155935748303+9.834853645144102E-6i
62605.16572014828                                 0.9739155059512672+1.2534577633995119E-5i
79123.42618981327                                 0.9739154192513662+1.5968810803403638E-5i
100000                                            0.9739153423709652+2.033235176400114E-5i
