% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 25 2025, 10:32
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.953597663075965+5.064921651031744E-7i
0.1263848202934298                                0.9535976639589128+6.401257773971567E-7i
0.15973122800602543                               0.9535976653692081+8.090148785014101E-7i
0.2018760254679039                                0.9535976676220022+1.0224580007354557E-6i
0.25514065200312885                               0.953597671220181+1.292203446025908E-6i
0.32245905452963947                               0.9535976769672083+1.6330919550829965E-6i
0.4075392965871777                                0.9535976861461419+2.063865177229399E-6i
0.5150678076168125                                0.9535977008055269+2.608179860431271E-6i
0.6509675230458171                                0.9535977242153156+3.2958743158102223E-6i
0.822724134170047                                 0.9535977615934048+4.164538180161003E-6i
1.03979841848149                                  0.9535978212603453+5.261434243982586E-6i
1.3141473626117568                                0.9535979164717053+6.645802586588053E-6i
1.6608827826277157                                0.95359806831075+8.39152270501304E-6i
2.0991037201085545                                0.9535983102267903+1.0589979733099926E-5i
2.6529484644318972                                0.9535986950723482+1.3352700835142096E-5i
3.3529241492495583                                0.9535993058181906+1.6812759663927003E-5i
4.237587160604064                                 0.9536002713648589+2.112285785432788E-5i
5.355666917706899                                 0.9536017886375028+2.6446052921792956E-5i
6.768750009458534                                 0.953604150437024+3.2932041813923664E-5i
8.554672535565684                                 0.9536077732614556+4.06681997348427E-5i
10.811807510766078                                0.95361320737353+4.9593337740214394E-5i
13.664483492953257                                0.9536210914492828+5.937261071795196E-5i
17.26983290659436                                 0.9536319972544487+6.927044636467862E-5i
21.826447283974872                                0.9536461363985711+7.813011134642614E-5i
27.58531617629184                                 0.9536630268387901+8.461394155895965E-5i
34.863652276780876                                0.9536813946010907+8.773180059256429E-5i
44.06236427773573                                 0.9536995543487369+8.736127877561324E-5i
55.68813990945273                                 0.953716104683198+8.431193003713002E-5i
70.38135554931561                                 0.953730419249076+7.985542498427663E-5i
88.95134973108236                                 0.9537426257889043+7.51285272204517E-5i
112.42100350620873                                0.9537532455723173+7.081666837414816E-5i
142.08308325339223                                0.953762839636554+6.717631291968776E-5i
179.5714494371641                                 0.9537718452305345+6.420711647869796E-5i
226.9510536694671                                 0.9537805645371827+6.178846449286598E-5i
286.83168133420116                                0.9537891863540687+5.97396837833316E-5i
362.51170499885353                                0.953797793078624+5.785809069906249E-5i
458.1597669054491                                 0.9538063757908117+5.595895852009152E-5i
579.0443980602489                                 0.9538148633669353+5.3900123956984335E-5i
731.8242219076182                                 0.9538231490131692+5.1588972539349287E-5i
924.9147277217335                                 0.9538311099563646+4.8982504654592935E-5i
1168.9518164985777                                0.9538386233149785+4.608410200203385E-5i
1477.3776525985127                                0.953845578691503+4.293751789377091E-5i
1867.1810912919207                                0.9538518874338884+3.961908287387948E-5i
2359.8334667821937                                0.9538574886777345+3.622900126910765E-5i
2982.471286216894                                 0.9538623523060776+3.288251177887892E-5i
3769.3909753883636                                0.9538664790312873+2.970164237909763E-5i
4763.938010401341                                 0.9538698979125125+2.6808251641849703E-5i
6020.894493336138                                 0.9538726617531599+2.4318997730147886E-5i
7609.496685459883                                 0.9538748409795702+2.234278523226384E-5i
9617.248711152964                                 0.953876516748598+2.0981078693296E-5i
12154.742500762884                                0.9538777741063208+2.033124392826931E-5i
15361.749466718296                                0.9538786959826482+2.0492822435211998E-5i
19414.919457438817                                0.9538793586401794+2.1576436154866233E-5i
24537.51106639822                                 0.9538798289259027+2.3714929430961946E-5i
31011.689265747817                                0.9538801633919288+2.7076427980847786E-5i
39194.06774847221                                 0.9538804091204223+3.187922293884828E-5i
49535.352089591805                                0.9538806059937429+3.8408726717293766E-5i
62605.16572014828                                 0.9538807902109259+4.703713357774093E-5i
79123.42618981327                                 0.9538809990664561+5.824679640004048E-5i
100000                                            0.9538812773758344+7.265867759171934E-5i
