% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 25 2025, 15:00
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9580627704949884+2.8818455786375993E-7i
0.1263848202934298                                0.9580627729954441+3.6415491724776723E-7i
0.15973122800602543                               0.958062776983752+4.601021987640703E-7i
0.2018760254679039                                0.9580627833490314+5.812286170120654E-7i
0.25514065200312885                               0.958062793493982+7.340397497852897E-7i
0.32245905452963947                               0.9580628096459614+9.266194866759694E-7i
0.4075392965871777                                0.9580628353128618+1.1689106793201973E-6i
0.5150678076168125                                0.9580628759716094+1.472942033671977E-6i
0.6509675230458171                                0.9580629400796061+1.852878230123294E-6i
0.822724134170047                                 0.9580630404343566+2.324666596641402E-6i
1.03979841848149                                  0.9580631958329104+2.904914818882453E-6i
1.3141473626117568                                0.9580634326883546+3.608516513195416E-6i
1.6608827826277157                                0.9580637857134584+4.444618959438415E-6i
2.0991037201085545                                0.9580642961428448+5.411140118064725E-6i
2.6529484644318972                                0.9580650056889274+6.4896139682762136E-6i
3.3529241492495583                                0.9580659459689661+7.64446637644009E-6i
4.237587160604064                                 0.9580671280338914+8.83122332617333E-6i
5.355666917706899                                 0.9580685411095101+1.0011959091642036E-5i
6.768750009458534                                 0.9580701646391868+1.1166425659687615E-5i
8.554672535565684                                 0.9580719836224911+1.2288778273939164E-5i
10.811807510766078                                0.9580739938749663+1.33747197115443E-5i
13.664483492953257                                0.9580761955231261+1.4411247264889309E-5i
17.26983290659436                                 0.958078581525156+1.5375801557205827E-5i
21.826447283974872                                0.9580811299617816+1.624565915057388E-5i
27.58531617629184                                 0.9580838080228885+1.701025493397396E-5i
34.863652276780876                                0.9580865842678408+1.7674231873877958E-5i
44.06236427773573                                 0.9580894363343261+1.8250374131846953E-5i
55.68813990945273                                 0.9580923504853412+1.8752532341261973E-5i
70.38135554931561                                 0.9580953190517557+1.9192776201428665E-5i
88.95134973108236                                 0.9580983386996677+1.958011710075001E-5i
112.42100350620873                                0.9581014088574012+1.991971777095432E-5i
142.08308325339223                                0.9581045304627602+2.0212659069620675E-5i
179.5714494371641                                 0.9581077051500669+2.0455511200777997E-5i
226.9510536694671                                 0.9581109339696808+2.0639480017249724E-5i
286.83168133420116                                0.9581142151131993+2.0749933321388477E-5i
362.51170499885353                                0.9581175411191623+2.076721910999728E-5i
458.1597669054491                                 0.9581208965385475+2.0668919136565143E-5i
579.0443980602489                                 0.9581242566604525+2.0433021377932057E-5i
731.8242219076182                                 0.9581275874693311+2.0041479157355862E-5i
924.9147277217335                                 0.9581308467940051+1.9483806916335876E-5i
1168.9518164985777                                0.9581339866893017+1.8760341837805224E-5i
1477.3776525985127                                0.9581369569016867+1.7884728576171907E-5i
1867.1810912919207                                0.958139709061037+1.688522772105761E-5i
2359.8334667821937                                0.9581422011049064+1.580459809022528E-5i
2982.471286216894                                 0.9581444012349838+1.469854296878895E-5i
3769.3909753883636                                0.9581462908260926+1.3633000740911477E-5i
4763.938010401341                                 0.9581478657497845+1.2680846510630829E-5i
6020.894493336138                                 0.9581491359214347+1.19187666643784E-5i
7609.496685459883                                 0.9581501231525992+1.1425121545794291E-5i
9617.248711152964                                 0.9581508578077345+1.1279492942888104E-5i
12154.742500762884                                0.9581513748689714+1.1564370305127463E-5i
15361.749466718296                                0.9581517101456233+1.2369128180570497E-5i
19414.919457438817                                0.9581518972170182+1.3796189346914368E-5i
24537.51106639822                                 0.9581519654915375+1.5969158060314487E-5i
31011.689265747817                                0.9581519394930172+1.904271727488417E-5i
39194.06774847221                                 0.9581518393438045+2.3214284588361433E-5i
49535.352089591805                                0.9581516823045518+2.873766348388107E-5i
62605.16572014828                                 0.9581514852985981+3.593923369176579E-5i
79123.42618981327                                 0.9581512685980447+4.523749881864947E-5i
100000                                            0.9581510610149034+5.716705893301836E-5i
