% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 24 2025, 17:15
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9678872718168527+2.3879126412495543E-7i
0.1263848202934298                                0.9678872722550952+3.0179419181389073E-7i
0.15973122800602543                               0.9678872729550404+3.814185785170085E-7i
0.2018760254679039                                0.9678872740732166+4.820481830999044E-7i
0.25514065200312885                               0.9678872758591042+6.092215953017534E-7i
0.32245905452963947                               0.9678872787115153+7.699350856214739E-7i
0.4075392965871777                                0.9678872832673323+9.730234792436482E-7i
0.5150678076168125                                0.9678872905432299+1.2296377229403718E-6i
0.6509675230458171                                0.9678873021622398+1.5538407986249816E-6i
0.822724134170047                                 0.967887320714089+1.9633454317102156E-6i
1.03979841848149                                  0.9678873503283922+2.4804153817517966E-6i
1.3141473626117568                                0.9678873975838441+3.132942128078521E-6i
1.6608827826277157                                0.9678874729439102+3.955680635877716E-6i
2.0991037201085545                                0.9678875930078255+4.991561946605161E-6i
2.6529484644318972                                0.9678877840014091+6.292858930231148E-6i
3.3529241492495583                                0.9678880870888213+7.921695601927776E-6i
4.237587160604064                                 0.9678885662049794+9.94884369863954E-6i
5.355666917706899                                 0.9678893189826061+1.2448777617200685E-5i
6.768750009458534                                 0.9678904904814897+1.5487425894431226E-5i
8.554672535565684                                 0.9678922867704898+1.909720147501915E-5i
10.811807510766078                                0.9678949794057412+2.323328215185915E-5i
13.664483492953257                                0.967898881803217+2.771038266909897E-5i
17.26983290659436                                 0.9679042699576683+3.213859836209811E-5i
21.826447283974872                                0.9679112331981878+3.591306844575708E-5i
27.58531617629184                                 0.967919503706713+3.833542264743926E-5i
34.863652276780876                                0.9679284032860405+3.888214039630613E-5i
44.06236427773573                                 0.9679370312864352+3.7472433557178063E-5i
55.68813990945273                                 0.9679446145608621+3.451098172663704E-5i
70.38135554931561                                 0.9679507626068039+3.066337980714924E-5i
88.95134973108236                                 0.9679554746161894+2.656180182106139E-5i
112.42100350620873                                0.9679589789867951+2.2637205667729856E-5i
142.08308325339223                                0.9679615643698104+1.9107124982005985E-5i
179.5714494371641                                 0.9679634845476511+1.6041131542155597E-5i
226.9510536694671                                 0.967964931867775+1.342948448369224E-5i
286.83168133420116                                0.9679660424541968+1.1227178365670869E-5i
362.51170499885353                                0.967966908269884+9.378133946971964E-6i
458.1597669054491                                 0.9679675894598382+7.828613953621937E-6i
579.0443980602489                                 0.9679681257196884+6.5332647496644335E-6i
731.8242219076182                                 0.9679685448602008+5.456079489813623E-6i
924.9147277217335                                 0.9679688681100312+4.569123524935168E-6i
1168.9518164985777                                0.9679691130127885+3.850775137542806E-6i
1477.3776525985127                                0.9679692947849082+3.2841949973907475E-6i
1867.1810912919207                                0.9679694267815022+2.8563067992054773E-6i
2359.8334667821937                                0.967969520548508+2.55733509412666E-6i
2982.471286216894                                 0.9679695857719303+2.3808143391171232E-6i
3769.3909753883636                                0.9679696302871083+2.323940572640179E-6i
4763.938010401341                                 0.9679696601995912+2.388153404973896E-6i
6020.894493336138                                 0.9679696801060163+2.5798819799446357E-6i
7609.496685459883                                 0.9679696933717793+2.9114427423842646E-6i
9617.248711152964                                 0.967969702424241+3.4021245819156262E-6i
12154.742500762884                                0.9679697090306375+4.0795344772311994E-6i
15361.749466718296                                0.9679697145504894+4.981302516323293E-6i
19414.919457438817                                0.9679697201650637+6.1572682959963346E-6i
24537.51106639822                                 0.9679697271065718+7.672292243055212E-6i
31011.689265747817                                0.967969736916126+9.609864428847361E-6i
39194.06774847221                                 0.9679697517811409+1.2076720332861448E-5i
49535.352089591805                                0.9679697750199708+1.5208723847832403E-5i
62605.16572014828                                 0.9679698118225887+1.9178342096010192E-5i
79123.42618981327                                 0.9679698704077374+2.420411881850294E-5i
100000                                            0.9679699638584793+3.0562654430500015E-5i
