% Model:              two_particles_2d.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 23 2025, 15:18
% Table:              Table 1 - Linienintegration 1
% w                                               (-D*F*u21y+D*F*u22y-F*mu*(c0+u21)*u23y-F*mu*(c0+u22)*u23y)/(sigma0*E0*2*L) (1)
0.1                                               0.9561412617426138+5.733371488338433E-7i
0.1263848202934298                                0.9561412666613855+7.244776106823208E-7i
0.15973122800602543                               0.956141274511097+9.153605053466016E-7i
0.2018760254679039                                0.9561412870320297+1.1563342451044323E-6i
0.25514065200312885                               0.9561413069893884+1.4603390413607252E-6i
0.32245905452963947                               0.9561413387571173+1.8434528748457725E-6i
0.4075392965871777                                0.956141389224016+2.325448242838767E-6i
0.5150678076168125                                0.9561414691440293+2.9302417464503987E-6i
0.6509675230458171                                0.9561415950871276+3.685994119467752E-6i
0.822724134170047                                 0.9561417920725664+4.624419004844034E-6i
1.03979841848149                                  0.9561420967446417+5.7785994262572035E-6i
1.3141473626117568                                0.9561425603678076+7.17841344401222E-6i
1.6608827826277157                                0.9561432499632879+8.842871285435255E-6i
2.0991037201085545                                0.956144244696054+1.0769883139250324E-5i
2.6529484644318972                                0.9561456242474213+1.2926921529129631E-5i
3.3529241492495583                                0.9561474489988788+1.5250255494475152E-5i
4.237587160604064                                 0.9561497408171925+1.7660937974532463E-5i
5.355666917706899                                 0.9561524815537967+2.0093913829901262E-5i
6.768750009458534                                 0.9561556362247793+2.2518337223729833E-5i
8.554672535565684                                 0.9561591815733878+2.493076155684913E-5i
10.811807510766078                                0.9561631152251281+2.733114312806719E-5i
13.664483492953257                                0.9561674433052484+2.9704560217774367E-5i
17.26983290659436                                 0.9561721597035152+3.2020688034957054E-5i
21.826447283974872                                0.9561772333959804+3.4251749097232366E-5i
27.58531617629184                                 0.9561826178565233+3.639447215156026E-5i
34.863652276780876                                0.9561882746901053+3.8473514988069986E-5i
44.06236427773573                                 0.9561941873761861+4.052617484789635E-5i
55.68813990945273                                 0.9562003590788324+4.25879088036751E-5i
70.38135554931561                                 0.9562068063709029+4.468627639439486E-5i
88.95134973108236                                 0.9562135543080098+4.683853200266865E-5i
112.42100350620873                                0.9562206322315044+4.905106908574824E-5i
142.08308325339223                                0.9562280714594261+5.132015602586405E-5i
179.5714494371641                                 0.9562359048167837+5.3631447172801706E-5i
226.9510536694671                                 0.9562441654273607+5.5957245102082103E-5i
286.83168133420116                                0.9562528827473347+5.825335165324243E-5i
362.51170499885353                                0.9562620763671+6.0458027973308534E-5i
458.1597669054491                                 0.9562717496536706+6.24938537156471E-5i
579.0443980602489                                 0.9562818845336963+6.427165210189983E-5i
731.8242219076182                                 0.9562924375613601+6.569572604327005E-5i
924.9147277217335                                 0.9563033373063281+6.667027881684437E-5i
1168.9518164985777                                0.9563144834274316+6.710691489621512E-5i
1477.3776525985127                                0.956325747867845+6.693285640112054E-5i
1867.1810912919207                                0.9563369784288797+6.609933860092835E-5i
2359.8334667821937                                0.9563480048945353+6.458951114707522E-5i
2982.471286216894                                 0.956358647597137+6.24250494333027E-5i
3769.3909753883636                                0.9563687280459967+5.967063361017425E-5i
4763.938010401341                                 0.9563780808467871+5.6435524193113264E-5i
6020.894493336138                                 0.9563865657739954+5.2871713504194105E-5i
7609.496685459883                                 0.9563940785413269+4.916858578169081E-5i
9617.248711152964                                 0.9564005587260545+4.554465521741844E-5i
12154.742500762884                                0.9564059934944409+4.223766940731141E-5i
15361.749466718296                                0.9564104163360326+3.949499951692222E-5i
19414.919457438817                                0.9564139009025737+3.7566571901720106E-5i
24537.51106639822                                 0.9564165509553479+3.6702489033507546E-5i
31011.689265747817                                0.9564184882917447+3.715692101240442E-5i
39194.06774847221                                 0.956419840814066+3.91989973012978E-5i
49535.352089591805                                0.9564207328711115+4.3130569644250006E-5i
62605.16572014828                                 0.9564212793897303+4.931015637785337E-5i
79123.42618981327                                 0.9564215846520552+5.8182301072487504E-5i
100000                                            0.9564217460419032+7.031198648379734E-5i
